n_samples	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	token_mismatch_rate	missing_meaning_count	silhouette	silhouette_ci_low	silhouette_ci_high	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	model	lexeme	distance	embedding_source	head_indices	condition	global_label_scope
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.4523402387830931	-0.4338495564243593	-0.4017994678749053	6.766179916093139	5.4491592651189	0.0	0.9180660181923034	0.9978319663035661	0.3284918564478601	answerdotai_ModernBERT-base	__ALL__	cosine	head	4	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.2590011512199608	-0.2362675338107557	-0.21540275275419496	6.766179916093139	5.4491592651189	7.546704185307636e-09	0.8864241740936407	3.8210259301458294	0.21561023760840442	answerdotai_ModernBERT-base	__ALL__	euclidean	head	4	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.5051945993910741	-0.489589658287958	-0.4602451155386729	7.261897873063497	4.9042734672194435	0.0	0.9218170612288485	0.9948503870601884	0.28787985616583234	answerdotai_ModernBERT-base	__ALL__	cosine	head	1	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.2955725645021133	-0.2718194410056369	-0.25390078062187654	7.261897873063497	4.9042734672194435	0.0	0.9011983091273735	4.08178333297236	0.17908764013255304	answerdotai_ModernBERT-base	__ALL__	euclidean	head	1	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.441026102447346	-0.4185409744335749	-0.39190446449913385	6.7470985756325925	5.070570383534625	5.679890442215178e-17	0.9207749422725972	0.997230824353101	0.3278572939434534	answerdotai_ModernBERT-base	__ALL__	cosine	head	6	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.253214278253838	-0.227392629711717	-0.20889057080917908	6.7470985756325925	5.070570383534625	8.063063333651978e-09	0.8953809045655837	3.50213291856114	0.22435309878022985	answerdotai_ModernBERT-base	__ALL__	euclidean	head	6	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.458994800362545	-0.4371679195192003	-0.406961448476345	6.6208412185864525	5.304210408135003	0.0	0.9183460933260558	0.9968240772107151	0.3275752661637171	answerdotai_ModernBERT-base	__ALL__	cosine	head	7	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.2599735458981538	-0.23482335630915518	-0.21563225947220382	6.6208412185864525	5.304210408135003	0.0	0.895307561930523	3.7800700140866708	0.21561023760840442	answerdotai_ModernBERT-base	__ALL__	euclidean	head	7	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.45872892725635883	-0.43679411849857946	-0.40993160343787166	6.624832509979837	5.365517918414581	0.0	0.9182711601302391	0.9959141131203805	0.33194669674962984	answerdotai_ModernBERT-base	__ALL__	cosine	head	2	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.26635912819635904	-0.24063510870587526	-0.22229933505204896	6.624832509979837	5.365517918414581	6.08707696267469e-09	0.8946565937436156	3.8123655071952416	0.21504618204893183	answerdotai_ModernBERT-base	__ALL__	euclidean	head	2	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.43148784701643406	-0.4126172096180625	-0.38463006959594964	6.71906910396267	5.2231772256915425	1.7007066050825379e-16	0.9211375957600204	0.9977598761151584	0.3327927800888387	answerdotai_ModernBERT-base	__ALL__	cosine	head	3	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.24904679830352	-0.22425109765617013	-0.20879251458569423	6.71906910396267	5.2231772256915425	0.0	0.8998505251648182	3.6509905123961155	0.2259747585137136	answerdotai_ModernBERT-base	__ALL__	euclidean	head	3	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.4484268814442976	-0.42672119325156405	-0.3997551933670733	6.685523349084132	5.019665596238119	0.0	0.9214264156548017	0.9971090696345761	0.32828033561305786	answerdotai_ModernBERT-base	__ALL__	cosine	head	0	global_pooled	lexeme_prefixed
14183	535	7.756889308389412	359	1	0.17570093457943925	0.2766355140186916	0.33920891207783965	0	-0.2594306866410949	-0.2325006809298812	-0.2178037166554544	6.685523349084132	5.019665596238119	7.048382219543594e-09	0.8932195295543531	3.5781346163371146	0.2224494112670098	answerdotai_ModernBERT-base	__ALL__	euclidean	head	0	global_pooled	lexeme_prefixed
