model	embed_type	lemma	form_1	form_1_freq	form_2	form_2_freq	msps	semantic_label	semantic_def	chisq_eq	p_eq	p_cat	cond_type	k2_sil	k2_var_1	k2_var_2	k2_var_mean	form_sil	form_var_1	form_var_2	form_var_mean	all_var
answerdotai_ModernBERT-base	delta	begin	began	16.0	begun	20.0	ppt	2(1a)	"To do the first part of an action. To go into the first part of a process. To start. ""Began by introducing herself"" ""will have to begin again"""	0.444444444444444	0.505	0.0	no_cond	0.5841280842989294	54.99013533868114	60.69656941181057	57.84335237524586	0.5841280842989294	54.99013533868114	60.69656941181057	57.84335237524586	203.66674352273697
answerdotai_ModernBERT-base	delta	begin	began	76.0	begun	64.0	ppt	2(4a)	"To set about the activity of. To start. ""They began the lecture at 10:00."" ""have already begun construction"""	1.02857142857143	0.3105	0.0	no_cond	0.5735788027037101	69.76162656789229	64.8406223472847	67.30112445758849	0.5735788027037101	69.76162656789229	64.8406223472847	67.30112445758849	217.43388223262443
answerdotai_ModernBERT-base	delta	begin	began	8.0	begun	14.0	ppt	2(5a)	"To bring into being. To found. ""credited with beginning the movement"" ""In 1819, he married the daughter of É chief and began a dynasty that would last for nearly 200 years."""	1.63636363636364	0.2008	0.0036	no_cond	0.5576981277916797	58.63211929442973	69.99189449155611	64.31200689299291	0.5576981277916797	58.63211929442973	69.99189449155611	64.31200689299291	203.59283115342367
answerdotai_ModernBERT-base	delta	bid	bidden	1.0	bid	41.0	ppt	3(3a)	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,000 less than his nearest competitor."""	38.0952380952381	0.0	1.0	cat	0.05292332848260962	140.20231504494794	105.64979698326535	122.92605601410665	0.511832898352719	0.0	120.57406692619975	60.287033463099874	140.248036818678
answerdotai_ModernBERT-base	delta	bid	bidden	57.0	bid	25.0	ppt	3(4a)	"To issue an order to. To tell. ""did as I was bid"""	12.4878048780488	0.0004	0.0	prob	0.5364788126178552	127.03633153629526	129.04668949999723	128.04151051814625	0.5364788126178552	127.03633153629526	129.04668949999723	128.04151051814625	326.72758196091564
answerdotai_ModernBERT-base	delta	bid	bidden	17.0	bid	0.0	ppt	3(4b)	"To request to come. To invite. ""were bidden to the wedding"""	17.0	0.0	1.0	cat	0.18004303209260444	94.9604964501552	72.26588215636376	83.61318930325947		107.99491859169707			107.99491859169707
answerdotai_ModernBERT-base	delta	bid	bidden	10.0	bid	10.0	ppt	3(5a)	"To give expression to. ""bade a tearful farewell"""	0.0	1.0	0.0004	no_cond	0.5698631012668386	86.09883252738271	91.54069613324423	88.81976433031346	0.5698631012668386	86.09883252738271	91.54069613324423	88.81976433031346	309.4277992848286
answerdotai_ModernBERT-base	delta	bid	bid	16.0	bade	0.0	pst	3(3a)	"To offer (a price) whether for payment or acceptance. ""The contractor bid $10,000 less than his nearest competitor."""	16.0	0.0001	1.0	cat	0.11106960599700258	81.97249160724235	119.52503267991386	100.7487621435781		132.6330658264572			132.6330658264572
answerdotai_ModernBERT-base	delta	bid	bid	25.0	bade	67.0	pst	3(4a)	"To issue an order to. To tell. ""did as I was bid"""	19.1739130434783	0.0	0.0	prob	0.5728785349238312	95.15828668685548	106.09210752816914	100.6251971075123	0.5728785349238312	95.15828668685548	106.09210752816914	100.6251971075123	286.80372511960155
answerdotai_ModernBERT-base	delta	bid	bid	33.0	bade	27.0	pst	3(5a)	"To give expression to. ""bade a tearful farewell"""	0.6	0.4386	0.0	no_cond	0.5762794944496539	106.4637369777991	94.08810406759885	100.27592052269898	0.5762794944496539	106.4637369777991	94.08810406759885	100.27592052269898	329.84377044757423
answerdotai_ModernBERT-base	delta	break	broke	19.0	broken	7.0	ppt	4(10b)	"To become inoperative because of damage, wear, or strain. ""The pump broke."""	5.53846153846154	0.0186	0.0098	prob	0.5626869673683017	120.43059680202452	100.42834611805506	110.42947146003979	0.5626869673683017	120.43059680202452	100.42834611805506	110.42947146003979	320.39769953965794
answerdotai_ModernBERT-base	delta	break	broke	9.0	broken	14.0	ppt	4(17a)	"To separate into parts with suddenness or violence. ""broke the plate"" ""Break the chocolate bar in half."""	1.08695652173913	0.2971	0.0015	no_cond	0.5406758467421225	100.9184296372006	133.86464815751873	117.39153889735967	0.5406758467421225	100.9184296372006	133.86464815751873	117.39153889735967	356.92607945439687
answerdotai_ModernBERT-base	delta	break	broke	5.0	broken	20.0	ppt	4(18a)	"To violate. To transgress. ""break the law"" ""break a promise"" ""breaking conventions"""	9.0	0.0027	0.0502	cat	0.5991998824961464	102.79261452130997	76.38707622543434	89.58984537337216	0.5991998824961464	76.38707622543434	102.79261452130997	89.58984537337216	275.9051796759677
answerdotai_ModernBERT-base	delta	break	broke	7.0	broken	13.0	ppt	4(26a)	"To split into smaller units, parts, or processes. To divide. ""break the grammar lesson into digestible chunks."" ""break a word at the end of a line"""	1.8	0.1797	0.0083	no_cond	0.5692767981860015	105.60470615112689	92.33827144599287	98.97148879855988	0.5692767981860015	92.33827144599287	105.60470615112689	98.97148879855988	324.8568613110902
answerdotai_ModernBERT-base	delta	break	broke	9.0	broken	6.0	ppt	4(29a)	"To exceed. To surpass. ""break the record"""	0.6	0.4386	0.0169	no_cond	0.5835849062030206	96.96645356676454	87.4772088144037	92.22183119058411	0.5835849062030206	96.96645356676454	87.4772088144037	92.22183119058411	344.73253958417877
answerdotai_ModernBERT-base	delta	break	broke	9.0	broken	8.0	ppt	4(7a)	"To end a relationship, connection, or agreement; usually used with with or from. ""break with tradition"" ""broke with the leadership"""	0.0588235294117647	0.8084	0.0027	no_cond	0.5720326157817555	109.44614039494621	96.99400940521261	103.22007490007941	0.5720326157817555	109.44614039494621	96.99400940521261	103.22007490007941	366.16064042789793
answerdotai_ModernBERT-base	delta	bring	brung	34.0	brought	31.0	pst	5(3a)	"To convey, lead, carry, or cause to come along with one toward the place from which the action is being regarded. ""brought a bottle of wine to the party"""	0.138461538461538	0.7098	0.0	no_cond	0.5322566692034366	54.15121485730275	50.42184913539666	52.28653199634971	0.5322566692034366	54.15121485730275	50.42184913539666	52.28653199634971	147.84171189799522
answerdotai_ModernBERT-base	delta	bring	brung	55.0	brought	14.0	pst	5(3e)	"(Dialect) To escort. To accompany. ""May I bring you home?"""	24.3623188405797	0.0	0.0001	prob	0.5520368499006313	45.689148352172325	50.65029649857345	48.16972242537288	0.5520368499006313	45.689148352172325	50.65029649857345	48.16972242537288	109.80613027110707
answerdotai_ModernBERT-base	delta	bring	brung	8.0	brought	39.0	pst	5(4a)	"To cause to exist or occur. Such as: To be the occasion of. ""Winter brings snow."" To result in. ""The drug brought immediate relief."" ""brought tears to her eyes"" To institute. ""bring legal action"" To adduce. ""bring an argument"""	20.4468085106383	0.0	0.0056	prob	-0.06490130936654187	18.76619237725145	100.08379287792344	59.42499262758744	0.5076658824345026	35.85681563912087	53.61905027792664	44.73793295852376	98.8828963343584
answerdotai_ModernBERT-base	delta	bring	brung	3.0	brought	16.0	pst	5(7a)	Phrases: bring forth, bring forward, bring home, bring to account, bring to bear, bring to book, bring to light, bring to mind, bring to terms	8.89473684210526	0.0029	0.2297	cat	0.5388675116805172	47.80195043610608	28.072020737848096	37.93698558697709	0.5388675116805172	28.072020737848096	47.80195043610608	37.93698558697709	96.39733681646108
answerdotai_ModernBERT-base	delta	burn	burnt	12.0	burned	18.0	ppt	6(10b)	"To subject to misfortune, mistreatment, or deception. Often used in passive. ""has been burned in love"""	1.2	0.2733	0.0001	no_cond	0.5746554097918727	39.00182613225384	38.75055746310487	38.876191797679354	0.5746554097918727	39.00182613225384	38.75055746310487	38.876191797679354	130.17252413554738
answerdotai_ModernBERT-base	delta	burn	burnt	47.0	burned	39.0	ppt	6(7a)	"To cause to undergo combustion. Especially, to destroy by fire. ""burned the trash"""	0.744186046511628	0.3883	0.0	no_cond	0.5150056507176359	48.56643653552245	46.54721950310415	47.5568280193133	0.5150056507176359	48.56643653552245	46.54721950310415	47.5568280193133	125.84897537371491
