"lemma","msps","attested_meanings","test_type","p_value"
"plead","ppt",9,"fisher_exact","0.0010"
"bid","pst",10,"fisher_exact","0.0000"
"burn","pst",21,"fisher_exact","0.0000"
"dive","pst",7,"fisher_exact","0.0014"
"fly","pst",14,"fisher_exact","0.0000"
"knit","pst",7,"fisher_exact","0.0000"
"light","ppt",8,"fisher_exact","0.0007"
"light","pst",11,"fisher_exact","0.0000"
"ring","ppt",18,"fisher_exact","0.0000"
"shine","pst",12,"fisher_exact","0.0000"
"shine","ppt",14,"fisher_exact","0.0000"
"spring","pst",16,"fisher_exact","0.0218"
"throw","pst",13,"fisher_exact","0.0000"
"weave","pst",13,"fisher_exact","0.0000"
"tread","pst",8,"fisher_exact","0.0000"
"slink","pst",2,"fisher_exact","0.2082"
"wet","pst",3,"fisher_exact","0.0000"
"speed","pst",6,"fisher_exact","0.0000"
"sneak","ppt",3,"chi_sq","0.8644"
"prove","ppt",5,"fisher_exact","0.0092"
"strive","ppt",2,"chi_sq","0.0537"
"strive","pst",2,"fisher_exact","0.0008"
"speed","ppt",6,"fisher_exact","0.0001"
"sneak","pst",3,"chi_sq","0.2469"
"plead","pst",7,"fisher_exact","0.0001"
"hang","pst",12,"fisher_exact","0.0000"
"hang","ppt",7,"fisher_exact","0.0000"
"learn","ppt",6,"fisher_exact","0.0303"
"lay","ppt",15,"fisher_exact","0.0000"
"dream","ppt",5,"fisher_exact","0.0015"
"knit","ppt",7,"fisher_exact","0.0041"
"sink","pst",20,"fisher_exact","0.0041"
"weave","ppt",11,"fisher_exact","0.0372"
"heave","pst",15,"fisher_exact","0.0000"
"creep","ppt",7,"fisher_exact","0.0000"
"creep","pst",6,"fisher_exact","0.0000"
"spill","ppt",5,"fisher_exact","0.0000"
"sew","ppt",6,"fisher_exact","0.0000"
"shake","ppt",14,"fisher_exact","0.0000"
"leap","pst",4,"fisher_exact","0.2713"
"burn","ppt",15,"fisher_exact","0.0028"
"dream","pst",5,"chi_sq","0.0000"
"learn","pst",5,"fisher_exact","0.0124"
"spill","pst",6,"fisher_exact","0.0000"
"disprove","ppt",1,"fisher_exact","    NA"
"leap","ppt",4,"fisher_exact","0.7849"
"smell","pst",6,"fisher_exact","0.0001"
"know","pst",6,"fisher_exact","0.0020"
"spell","ppt",7,"fisher_exact","0.0000"
"bid","ppt",7,"fisher_exact","0.0000"
"tread","ppt",8,"fisher_exact","0.0000"
"kneel","pst",2,"chi_sq","0.2008"
"break","ppt",28,"fisher_exact","0.2008"
"spit","ppt",5,"fisher_exact","0.5544"
"drive","ppt",15,"fisher_exact","0.0000"
"begin","ppt",4,"fisher_exact","0.1741"
"spit","pst",6,"fisher_exact","0.0000"
"wake","ppt",5,"fisher_exact","0.0062"
"eat","ppt",8,"fisher_exact","0.0053"
"take","ppt",25,"fisher_exact","0.0053"
"write","ppt",14,"fisher_exact","0.0019"
"fall","ppt",14,"fisher_exact","0.0000"
"tear","ppt",6,"fisher_exact","0.0026"
"forget","ppt",5,"fisher_exact","0.0021"
"lead","pst",8,"fisher_exact","0.0935"
"lay","pst",17,"fisher_exact","0.0000"
"lead","ppt",6,"fisher_exact","0.0000"
"show","ppt",12,"fisher_exact","0.0000"
"speak","ppt",9,"fisher_exact","0.0092"
"wear","ppt",5,"fisher_exact","0.0268"
"bring","pst",4,"chi_sq","0.0000"
"drink","ppt",7,"fisher_exact","0.0185"
"speak","pst",12,"fisher_exact","0.0000"
"see","pst",7,"fisher_exact","0.0000"
"see","ppt",8,"fisher_exact","0.0008"
