"lemma","form_1","form_1_freq","form_2","form_2_freq","msps","chisq_eq","p_eq","p_cat","cond_type","def"
"plead","pled",83,"pleaded",70,"ppt",1.10457516339869,"0.2933","0.0000","no_cond","To make a plea of a specific nature. ""Plead not guilty"""
"plead","pled",4,"pleaded",21,"ppt",11.56,"0.0007","0.1099","cat","To entreat or appeal earnestly. "
"bid","bid",16,"bade",0,"pst",16,"0.0001","1.0000","cat","To offer (a price) whether for payment or acceptance. ""The contractor bid $10,000 less than his nearest competitor."""
"bid","bid",25,"bade",67,"pst",19.1739130434783,"0.0000","0.0000","prob","To issue an order to. To tell. ""did as I was bid"""
"bid","bid",33,"bade",27,"pst",0.6,"0.4386","0.0000","no_cond","To give expression to. ""bade a tearful farewell"""
"burn","burnt",6,"burned",12,"pst",2,"0.1573","0.0191","no_cond","To undergo alteration or destruction by the action of fire or heat. ""The house burned down."" ""The  potatoes burned to a crisp."""
"burn","burnt",39,"burned",50,"pst",1.35955056179775,"0.2436","0.0000","no_cond","To cause to undergo combustion. Especially, to destroy by fire. ""burned the trash"""
"burn","burnt",20,"burned",3,"pst",12.5652173913043,"0.0004","0.2333","cat","To injure or damage by or as if by exposure to fire, heat, or radiation. To scorch. ""burned his hand"""
"dive","dived",28,"dove",15,"pst",3.93023255813953,"0.0474","0.0000","prob","To plunge into water intentionally"
"dive","dived",25,"dove",49,"pst",7.78378378378378,"0.0053","0.0000","prob","To plunge into some matter or activity"
"dive","dived",34,"dove",33,"pst",0.0149253731343284,"0.9028","0.0000","no_cond","To plunge or dash for some place, expecially to seize something"
"fly","flied",2,"flew",16,"pst",10.8888888888889,"0.0010","0.4857","cat","To move in or pass through the air with wings. ""bees flying around the hive"""
"fly","flied",0,"flew",52,"pst",52,"0.0000","1.0000","cat","To operate or travel in an airplane or spacecraft. ""They flew to Florida for their vacation."""
"fly","flied",96,"flew",7,"pst",76.9029126213592,"0.0000","0.0141","prob","To hit a fly in baseball. "
"knit","knitted",12,"knit",6,"pst",2,"0.1573","0.0191","no_cond","To make knitted fabrics or objects. "
"knit","knitted",57,"knit",29,"pst",9.11627906976744,"0.0025","0.0000","prob","To form by interlacing yarn or thread in a series of connected loops with needles"
"knit","knitted",5,"knit",16,"pst",5.76190476190476,"0.0164","0.0478","prob","To link firmly or closely. ""knitted my hands"""
"knit","knitted",10,"knit",24,"pst",5.76470588235294,"0.0164","0.0009","prob","To contract into wrinkles. ""knitted her brow"""
"light","lighted",45,"lit",36,"ppt",1,"0.3173","0.0000","no_cond","To set fire to. "
"light","lighted",48,"lit",52,"ppt",0.16,"0.6892","0.0000","no_cond","To illuminate. ""Rockets lit up the sky."""
"light","lighted",14,"lit",34,"pst",8.33333333333333,"0.0039","0.0000","prob","To become bright / brighten. ""Her face lit up."""
"light","lighted",48,"lit",47,"pst",0.0105263157894737,"0.9183","0.0000","no_cond","To set fire to. "
"light","lighted",17,"lit",14,"pst",0.290322580645161,"0.5900","0.0000","no_cond","To illuminate. ""Rockets lit up the sky."""
"ring","ringed",0,"rung",18,"ppt",18,"0.0000","1.0000","cat","To sound resonantly or sonorously. "
"ring","ringed",0,"rung",42,"ppt",42,"0.0000","1.0000","cat","To cause to sound, especially by striking. "
"ring","ringed",91,"rung",0,"ppt",91,"0.0000","1.0000","cat","To place or form a ring around; to encircle. "
