"lemma","msps","no_cond","prob","cat"
"plead","ppt",1,0,1
"bid","pst",1,1,1
"burn","pst",2,0,1
"dive","pst",1,2,0
"fly","pst",0,1,2
"knit","pst",1,3,0
"light","ppt",2,0,0
"light","pst",2,1,0
"ring","ppt",0,0,3
"shine","pst",2,2,1
"shine","ppt",2,1,2
"spring","pst",3,0,0
"throw","pst",1,1,2
"weave","pst",1,2,1
"tread","pst",1,1,2
"slink","pst",1,0,0
"wet","pst",0,2,0
"speed","pst",0,2,1
"sneak","ppt",3,0,0
"prove","ppt",1,2,0
"strive","ppt",1,1,0
"strive","pst",1,0,1
"speed","ppt",2,0,1
"sneak","pst",2,0,0
"plead","pst",1,0,1
"hang","pst",0,0,4
"hang","ppt",0,1,3
"learn","ppt",3,0,0
"lay","ppt",1,1,2
"dream","ppt",3,0,0
"knit","ppt",0,2,0
"sink","pst",2,2,2
"weave","ppt",3,1,0
"heave","pst",2,0,2
"creep","ppt",0,1,2
"creep","pst",0,1,3
"spill","ppt",1,0,1
"sew","ppt",2,1,1
"shake","ppt",2,0,1
"leap","pst",3,0,0
"burn","ppt",3,1,0
"dream","pst",0,4,0
"learn","pst",3,1,0
"spill","pst",1,1,2
"disprove","ppt",1,0,0
"leap","ppt",3,0,0
"smell","pst",1,1,0
"know","pst",1,2,0
"spell","ppt",0,2,1
"bid","ppt",1,1,2
"tread","ppt",2,1,1
"kneel","pst",2,0,0
"break","ppt",4,1,1
"spit","ppt",3,0,0
"drive","ppt",0,0,4
"begin","ppt",3,0,0
"spit","pst",2,2,1
"wake","ppt",2,1,0
"eat","ppt",1,1,0
"take","ppt",3,3,0
"write","ppt",1,1,0
"fall","ppt",0,2,2
"tear","ppt",2,0,1
"forget","ppt",3,0,0
"lead","pst",4,1,0
"lay","pst",0,1,4
"lead","ppt",1,2,0
"show","ppt",2,0,0
"speak","ppt",2,3,0
"wear","ppt",1,0,0
"bring","pst",1,2,1
"drink","ppt",2,1,0
"speak","pst",1,0,2
"see","pst",2,2,0
"see","ppt",3,1,1
