system_id	lemma	msps	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
begin__ppt	begin	ppt	200	2	0.5554632873166887	2-10	0.555463,0.327099,0.092752,0.078242,0.083338,0.074569,0.069894,0.069415,0.059335	14353.753773,13521.225583,12876.661854,12450.137603,12171.653973,11740.840679,11474.410531,11386.142959,11136.377704	
bid__ppt	bid	ppt	171	2	0.5013053160090758	2-10	0.501305,0.318289,0.106954,0.099693,0.110776,0.103752,0.092540,0.089740,0.087596	23297.450215,21812.235057,20768.265619,19910.125568,19141.866823,18537.650911,18111.828422,17548.040560,17236.765960	
bid__pst	bid	pst	200	2	0.536082603321584	2-10	0.536083,0.338212,0.098716,0.087644,0.084510,0.071735,0.062555,0.052800,0.054205	23630.622383,22379.477419,21374.029265,20254.527969,19670.193109,19260.706122,18908.466204,18590.442798,18165.053163	
break__ppt	break	ppt	199	2	0.5448260632064692	2-10	0.544826,0.303611,0.063002,0.038818,0.049771,0.040817,0.028998,0.032178,0.030856	25452.249954,24583.609440,23922.117342,23473.131985,23067.713468,22685.299326,22212.589863,21928.306983,21666.286449	
bring__pst	bring	pst	193	2	0.53021998808611	2-10	0.530220,0.304837,0.067365,0.057167,0.053962,0.054413,0.053319,0.061611,0.043657	10079.337161,9597.500140,9275.904705,9031.576494,8866.211958,8651.195519,8490.073472,8419.551381,8297.958120	
burn__ppt	burn	ppt	199	2	0.5038316378201458	2-10	0.503832,0.298310,0.093828,0.078638,0.062683,0.057415,0.067982,0.052639,0.050685	10073.908528,9538.201781,9087.415830,8839.821051,8616.407260,8466.165774,8302.148505,8242.632288,8099.964784	
burn__pst	burn	pst	198	2	0.5148096640790477	2-10	0.514810,0.283639,0.056690,0.052039,0.052517,0.054511,0.041073,0.038887,0.043017	11093.544704,10662.766949,10331.137507,10129.203446,9893.389172,9666.148633,9592.343202,9467.390105,9315.431804	
creep__ppt	creep	ppt	200	2	0.5884965055309196	2-10	0.588497,0.337146,0.085707,0.063145,0.089756,0.048034,0.076342,0.057625,0.058201	10507.118194,10010.328352,9572.054527,9360.004473,9013.480784,8878.627743,8665.346166,8523.413608,8340.121185	
creep__pst	creep	pst	199	2	0.5879249084075977	2-10	0.587925,0.332029,0.074142,0.066171,0.051055,0.062479,0.054726,0.043828,0.030184	10351.108380,9891.821781,9448.103118,9236.891255,9016.834968,8892.969073,8694.153216,8546.428264,8618.523689	
disprove__ppt	disprove	ppt	197	2	0.5695348627636578	2-10	0.569535,0.333758,0.084061,0.070099,0.060326,0.064203,0.042112,0.050134,0.052496	12302.033595,11636.951578,11171.666180,10701.904519,10453.153512,10250.314045,10135.913550,9918.652924,9821.314016	
