system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
begin__ppt	begin	ppt	all	200	2	0.6185259466927358	2-10	0.618526,0.364052,0.123500,0.113830,0.106753,0.103720,0.057297,0.064748,0.068956	207341.432189,193121.295431,179064.032506,171451.605248,166169.665157,163849.787631,160472.886131,157389.427550,155592.899702	
bid__ppt	bid	ppt	all	171	2	0.2706181007443875	2-10	0.270618,0.266678,0.217550,0.224745,0.201055,0.175673,0.178317,0.159689,0.109772	1086628.352013,894730.543472,813235.895237,762942.287407,716706.911680,674998.979085,657136.238047,624387.274397,623155.648442	
bid__pst	bid	pst	all	200	2	0.5283497443604596	2-10	0.528350,0.430273,0.227059,0.179221,0.179223,0.169215,0.155496,0.148576,0.125154	950191.715045,792074.405620,728750.691076,677109.349404,644048.240359,609050.649292,584481.001729,562319.196696,549119.275991	
break__ppt	break	ppt	all	199	2	0.5374627611500148	2-10	0.537463,0.368710,0.198683,0.178129,0.144956,0.142447,0.133880,0.114520,0.118591	1508861.625887,1316594.414727,1149073.233879,1083764.845132,1043304.574354,980126.294626,949954.276892,925278.014898,891827.114211	
bring__pst	bring	pst	all	193	2	0.5241264430546064	2-10	0.524126,0.354779,0.188946,0.145376,0.142830,0.133337,0.144101,0.127689,0.114488	423514.096870,390935.731154,360449.649367,343145.120661,329444.237312,313236.081951,301960.819335,294861.079992,289421.623241	
burn__ppt	burn	ppt	all	199	2	0.8950881573821897	2-10	0.895088,0.246145,0.231397,0.206736,0.117935,0.079985,0.061710,0.106262,0.054790	64764.486287,46980.079443,40208.098898,37541.210200,36455.340589,35344.000158,34329.298385,33638.969693,32837.044303	
creep__ppt	creep	ppt	all	200	2	0.4527815213693047	2-10	0.452782,0.382926,0.384016,0.348124,0.170678,0.160394,0.163169,0.145079,0.144666	193043.003732,163043.645578,151295.295340,139261.564473,130233.538169,123470.200467,118461.152056,114680.629309,109399.181373	
creep__pst	creep	pst	all	199	2	0.3857102191258211	2-10	0.385710,0.341622,0.266061,0.223191,0.179594,0.177509,0.166209,0.167470,0.158999	333857.328120,263035.604980,226597.667289,206408.666640,192533.307688,180405.186229,172078.259475,164911.087144,160787.562103	
disprove__ppt	disprove	ppt	all	197	2	0.6157751245904822	2-10	0.615775,0.404227,0.395758,0.159800,0.167113,0.141678,0.113366,0.115233,0.110053	111679.536535,96918.502281,88430.586648,80519.176954,75795.916668,73464.948886,71425.740661,69704.654544,67761.418914	
dive__pst	dive	pst	all	198	2	0.5418923090830757	2-10	0.541892,0.385967,0.250387,0.195485,0.191081,0.092410,0.111538,0.069388,0.101423	286070.428639,255004.629484,226025.624081,214451.804772,206527.643489,201825.486554,195679.318723,191370.637009,186375.769447	
dream__pst	dream	pst	all	197	2	0.2303063183298799	2-10	0.230306,0.223662,0.181774,0.204239,0.104241,0.121705,0.083491,0.057961,0.063628	30431.322460,26187.201298,24304.210343,22972.011892,22000.194115,21412.853975,20762.292051,20279.202952,19589.994385	
