system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
bid__ppt	bid	ppt	cat	58	2	0.2554964775718404	2-10	0.255496,0.201654,0.188064,0.177006,0.181112,0.175031,0.179618,0.110751,0.107141	396138.173496,339471.772012,303664.699032,270996.862148,244528.063580,237717.599067,218601.410341,199240.114796,191553.540364	
bid__pst	bid	pst	cat	16	2	0.2956570316813728	2-10	0.295657,0.195578,0.160650,0.149937,0.132285,0.160710,0.144708,0.147948,0.153148	68912.022303,54947.564428,46497.333056,38449.127488,33372.044357,26498.807270,22094.599797,17917.318335,14260.697491	
break__ppt	break	ppt	cat	25	2	0.5595643985933237	2-10	0.559564,0.326959,0.296551,0.229101,0.305581,0.244025,0.158682,0.171417,0.149346	155992.140285,110052.295403,96052.945572,85988.622132,76668.973721,69206.900689,60050.484900,54035.677235,48222.139026	
bring__pst	bring	pst	cat	19	2	0.534632507513397	2-10	0.534633,0.255041,0.169112,0.185369,0.167035,0.089302,0.162227,0.084202,0.080959	36382.481589,30459.767527,26496.454547,23146.255598,20802.343365,18737.220110,16384.053831,14206.256389,12378.746933	
creep__ppt	creep	ppt	cat	100	2	0.3829776241238582	2-10	0.382978,0.317820,0.312282,0.228403,0.268963,0.207427,0.214460,0.211861,0.102261	104227.326284,81109.979237,72336.162666,67273.172807,62842.925467,60280.781956,56562.437402,53647.319120,51947.145914	
creep__pst	creep	pst	cat	150	2	0.37745291140691384	2-10	0.377453,0.339654,0.250505,0.205820,0.191329,0.179841,0.163487,0.151273,0.157591	255640.188519,192571.954875,174731.935113,157916.818332,146399.317731,137991.632305,129904.479039,125231.257193,120071.025688	
drive__ppt	drive	ppt	cat	93	2	0.4645316334878945	2-10	0.464532,0.426376,0.353908,0.361035,0.362302,0.332821,0.345735,0.347089,0.327236	200229.724190,147664.552794,128196.900687,116587.669220,109852.558243,104702.019014,99229.753001,95683.820279,90525.283534	
fall__ppt	fall	ppt	cat	69	2	0.29515197247013	2-10	0.295152,0.245248,0.232851,0.200597,0.139495,0.134834,0.113647,0.129936,0.114291	198999.856892,165817.561345,134364.507570,124761.618345,117070.546117,109514.781854,108623.875532,101143.755697,98405.482190	
fly__pst	fly	pst	cat	68	2	0.5607615211709303	2-10	0.560762,0.141417,0.122161,0.102226,0.092698,0.081486,0.095195,0.081104,0.088041	72927.429034,62543.968534,56301.490370,53526.029674,50919.055334,48328.069385,46318.365153,44951.491567,42715.617607	
hang__ppt	hang	ppt	cat	67	2	0.20794914728983968	2-10	0.207949,0.187725,0.164326,0.182201,0.174720,0.161110,0.107262,0.107537,0.118605	354871.389492,277120.825999,245360.856775,219537.564813,209166.479501,198456.859123,189339.972463,184280.509038,174854.637611	
hang__pst	hang	pst	cat	169	2	0.5706755464931796	2-10	0.570676,0.354616,0.226424,0.209456,0.182134,0.160059,0.152023,0.131320,0.124132	863584.828415,743391.111579,631784.968196,593422.598487,571555.778611,552181.507726,529161.004799,511578.841784,496006.637757	
heave__pst	heave	pst	cat	58	2	0.5651041143975599	2-10	0.565104,0.364112,0.227797,0.174483,0.155572,0.150260,0.138112,0.111371,0.122924	227914.863865,181646.387972,160980.796823,147419.272395,138311.894278,134084.549911,124618.294960,119896.458296,114356.639854	
lay__ppt	lay	ppt	cat	91	2	0.5207519937715169	2-10	0.520752,0.479748,0.202049,0.200098,0.152958,0.146009,0.171694,0.123792,0.104507	583412.726742,497487.048849,448448.039730,402563.075879,383131.846651,361195.190008,341341.825429,326507.521816,324815.181395	
lay__pst	lay	pst	cat	91	2	0.5082830616202654	2-10	0.508283,0.307818,0.282725,0.204359,0.170960,0.147626,0.148998,0.117003,0.137524	563408.852654,445124.788445,412699.415456,377997.848836,358283.586766,340077.044064,323146.822786,307926.916746,294208.868690	
plead__ppt	plead	ppt	cat	25	2	0.5680180899705779	2-10	0.568018,0.238412,0.171102,0.165916,0.178871,0.193749,0.148957,0.128635,0.127284	92851.700186,74891.794282,67164.677563,60661.861689,54335.241592,48179.206513,43732.106093,39097.263628,33539.458803	
plead__pst	plead	pst	cat	29	2	0.5777328365282566	2-10	0.577733,0.290381,0.214645,0.221227,0.181623,0.221405,0.199424,0.182944,0.100557	100693.401889,76431.990468,66773.679930,59722.130024,55561.155558,49127.870458,43726.660049,42104.514039,36515.683416	
ring__ppt	ring	ppt	cat	151	2	0.5810968192353224	2-10	0.581097,0.370702,0.278223,0.249136,0.219990,0.211409,0.092810,0.103140,0.107685	581036.283679,474226.492884,430184.157470,401839.047629,382437.933419,368647.105725,359806.031325,344807.274895,338624.072182	
see__ppt	see	ppt	cat	19	2	0.533674964356219	2-10	0.533675,0.299175,0.243515,0.198802,0.189748,0.181657,0.224517,0.203408,0.207361	199503.444004,144818.288064,119492.249623,96923.314942,84730.934301,73821.328291,59375.035899,51524.569305,42165.134018	
sew__ppt	sew	ppt	cat	17	2	0.3288132040828046	2-10	0.328813,0.315298,0.264419,0.123267,0.088238,0.119738,0.109678,0.082780,0.088081	2736.333917,2196.925741,1805.032986,1541.196248,1259.533762,1004.540928,801.445716,664.566425,486.532772	
shake__ppt	shake	ppt	cat	27	2	0.3412931867826053	2-10	0.341293,0.143187,0.156968,0.107098,0.151755,0.079372,0.074812,0.064133,0.096796	10783.582437,9059.033476,7678.116704,6687.766530,5911.151605,5433.007988,4799.372503,4212.140216,3704.527135	
shine__ppt	shine	ppt	cat	66	2	0.5694051110254494	2-10	0.569405,0.160638,0.182090,0.182428,0.187041,0.180458,0.171193,0.172481,0.163448	23866.616744,20663.827310,17143.529323,15447.266665,14068.471989,13510.333332,11954.450191,11007.129028,10278.723285	
shine__pst	shine	pst	cat	21	2	0.47468645136953364	2-10	0.474686,0.288096,0.154664,0.151313,0.142545,0.139488,0.147373,0.146573,0.133213	3521.756063,2590.096159,2124.243959,1783.021348,1509.589699,1240.845245,1070.239043,873.464757,757.780574	
sink__pst	sink	pst	cat	31	2	0.2677089423835668	2-10	0.267709,0.217852,0.244687,0.219458,0.243049,0.230328,0.236289,0.206959,0.204465	9584.196170,7758.533682,6322.585346,5532.968336,4717.062760,4382.101021,3796.765875,3343.691941,2977.217726	
speak__pst	speak	pst	cat	25	2	0.2226299553565908	2-10	0.222630,0.210491,0.201573,0.202952,0.208647,0.205455,0.134632,0.125045,0.138574	23125.000649,19547.101823,16774.819464,15221.372444,13390.626626,12046.387751,10792.213144,9590.132822,8290.966360	
speed__ppt	speed	ppt	cat	22	2	0.6279661749713932	2-10	0.627966,0.204482,0.160998,0.174305,0.158276,0.174936,0.182742,0.194427,0.181940	57228.960598,43937.960994,38841.826722,33117.165202,30264.694924,25886.782739,23069.279844,19780.034262,17360.641687	
speed__pst	speed	pst	cat	73	2	0.6684189229897524	2-10	0.668419,0.227131,0.120026,0.120663,0.109410,0.114583,0.095850,0.107896,0.080591	184261.283665,136173.910853,125904.772205,116716.686881,113197.096001,107254.605904,103138.801995,98129.568594,96147.643747	
spill__ppt	spill	ppt	cat	16	2	0.5691340954293944	2-10	0.569134,0.208454,0.163807,0.133753,0.079956,0.077065,0.061100,0.037874,0.054753	3073.862840,2264.385344,1876.275519,1584.270858,1324.901094,1073.924586,921.732598,781.809743,627.799898	
spill__pst	spill	pst	cat	38	2	0.4378501042251527	2-10	0.437850,0.200768,0.102705,0.085555,0.095112,0.106044,0.068131,0.091807,0.097554	18147.447985,16109.176895,14616.699535,13295.476925,11964.038544,10766.578895,9824.003770,8670.902172,7966.665293	
strive__pst	strive	pst	cat	21	2	0.5750089732471513	2-10	0.575009,0.234114,0.246135,0.149472,0.159044,0.183430,0.171821,0.143795,0.130347	12318.308871,9964.608136,8397.986165,7722.151073,6784.643883,6129.697585,5638.972225,4796.175888,4407.337844	
tear__ppt	tear	ppt	cat	18	2	0.3971726087889824	2-10	0.397173,0.331731,0.279392,0.230703,0.171869,0.212607,0.211988,0.201600,0.173333	36746.921663,22973.318402,17294.263020,14043.310897,11878.732262,9071.900342,7216.661055,5692.647621,4297.177580	
throw__pst	throw	pst	cat	36	2	0.6238971974620151	2-10	0.623897,0.269979,0.260966,0.172463,0.134884,0.118995,0.093019,0.117433,0.077842	92823.463572,78757.664763,69457.355536,62455.617902,56974.686032,53153.018229,48921.146627,43900.321551,41669.015857	
tread__ppt	tread	ppt	cat	18	2	0.5945524486262013	2-10	0.594552,0.223760,0.226660,0.225039,0.212123,0.222805,0.211051,0.123451,0.196689	20061.878812,16460.638031,14239.948439,12395.056589,10600.684311,9040.631585,8009.008203,6805.124427,5796.344376	
tread__pst	tread	pst	cat	42	2	0.5170131710192678	2-10	0.517013,0.238352,0.215033,0.182431,0.165914,0.156744,0.091320,0.106985,0.094120	30649.648464,25219.330273,23533.921449,21994.638834,20370.777091,19100.472744,18027.355730,16591.320945,16425.896839	
weave__pst	weave	pst	cat	28	2	0.63144913277817	2-10	0.631449,0.312560,0.258468,0.245612,0.162233,0.176280,0.080283,0.096419,0.086233	40881.857469,31208.470957,27011.763800,24220.038570,22706.723256,19985.678168,18517.359805,16440.561756,14505.435597	
burn__pst	burn	pst	cat	23	3	0.4438971950313731	2-10	0.299701,0.443897,0.272833,0.174635,0.077777,0.120516,0.082102,0.072963,0.069833	4514.800833,3314.489879,2655.572898,2209.560753,1966.991131,1748.640586,1554.678710,1360.787588,1200.622520	
spell__ppt	spell	ppt	cat	20	3	0.41002035292778605	2-10	0.390629,0.410020,0.146630,0.160282,0.187066,0.107763,0.093518,0.086695,0.089527	5229.799977,3628.643427,2952.262695,2300.112253,1766.001854,1505.112543,1290.131042,1103.448307,932.405095	
