system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
begin__ppt	begin	ppt	no_cond	176	2	0.5594844877644292	2-10	0.559484,0.342048,0.096737,0.081760,0.075994,0.075096,0.080413,0.069010,0.058175	12435.862592,11717.480692,11122.740481,10735.837447,10381.845240,10134.926917,9737.080503,9690.140262,9497.582946	
bid__ppt	bid	ppt	no_cond	20	2	0.5698631012668386	2-10	0.569863,0.327246,0.084527,0.077874,0.093951,0.063550,0.067513,0.052528,0.053840	1776.395287,1596.332458,1428.283196,1292.056853,1177.249890,1068.050226,951.344329,865.138918,760.902200	
bid__pst	bid	pst	no_cond	60	2	0.5762794944496539	2-10	0.576279,0.514936,0.308848,0.092876,0.089861,0.090129,0.068410,0.067296,0.059259	6053.682130,5478.230469,5073.121978,4768.266672,4532.303750,4351.110956,4207.119207,4017.736634,3888.350788	
break__ppt	break	ppt	no_cond	75	2	0.5389563007094772	2-10	0.538956,0.274747,0.282062,0.274711,0.051541,0.055600,0.034968,0.048007,0.053866	9522.771473,9040.841997,8666.124346,8434.093381,8128.388339,7868.401970,7711.383485,7423.346368,7244.177920	
bring__pst	bring	pst	no_cond	61	2	0.5322566692034366	2-10	0.532257,0.348525,0.098997,0.054758,0.040862,0.050893,0.052739,0.037023,0.093121	3187.613769,2869.996834,2770.572645,2651.797218,2586.138835,2495.378856,2406.844113,2320.469966,2246.834369	
burn__ppt	burn	ppt	no_cond	131	2	0.5183297225391984	2-10	0.518330,0.315681,0.110470,0.105461,0.085752,0.080486,0.072435,0.068394,0.048427	6351.934385,5976.124635,5603.144381,5388.308083,5241.252900,5093.525970,4978.938979,4955.674143,4870.601820	
burn__pst	burn	pst	no_cond	107	2	0.511915331030337	2-10	0.511915,0.256299,0.073557,0.087356,0.056287,0.051146,0.042762,0.060257,0.039872	5856.736324,5542.997955,5347.066148,5181.991812,5064.435494,4929.227032,4869.767054,4671.357182,4681.512056	
disprove__ppt	disprove	ppt	no_cond	197	2	0.5695348627636578	2-10	0.569535,0.333758,0.084061,0.070099,0.060326,0.064203,0.042112,0.050134,0.052496	12302.033595,11636.951578,11171.666180,10701.904519,10453.153512,10250.314045,10135.913550,9918.652924,9821.314016	
dive__pst	dive	pst	no_cond	67	2	0.5467823153012881	2-10	0.546782,0.327646,0.093352,0.073200,0.060063,0.057562,0.053306,0.049774,0.038264	3745.200751,3421.047460,3245.343900,3169.952751,3034.958655,2950.294200,2900.822157,2784.454587,2693.991721	
dream__ppt	dream	ppt	no_cond	181	2	0.5665708916139653	2-10	0.566571,0.313726,0.097991,0.081855,0.079803,0.069168,0.071965,0.055455,0.067083	9274.377933,8841.008130,8489.891743,8160.995253,7888.159708,7710.494211,7487.128580,7385.591625,7212.735978	
drink__ppt	drink	ppt	no_cond	132	2	0.4879401758171513	2-10	0.487940,0.237653,0.088727,0.078200,0.057248,0.056372,0.055676,0.056271,0.048323	5060.073736,4785.475610,4531.871701,4396.587148,4279.676016,4212.438303,4002.344927,3937.389652,3877.694384	
eat__ppt	eat	ppt	no_cond	142	2	0.5568405643200153	2-10	0.556841,0.281152,0.056005,0.042114,0.048088,0.035992,0.038548,0.037191,0.047013	18763.647713,17854.519610,17397.373413,17065.211004,16749.806120,16419.717327,15983.479595,15755.267576,15575.220457	
forget__ppt	forget	ppt	no_cond	184	2	0.5089109512605761	2-10	0.508911,0.508130,0.282279,0.091289,0.085906,0.068083,0.051740,0.072733,0.044240	11420.737611,10648.389667,10067.924997,9603.320659,9248.878753,9077.978185,8948.957017,8658.673040,8609.386217	
heave__pst	heave	pst	no_cond	34	2	0.5537626156442804	2-10	0.553763,0.358946,0.325833,0.115652,0.080334,0.115564,0.084765,0.114125,0.082453	2252.499441,2030.251772,1849.891119,1732.118967,1630.285473,1522.369359,1436.837030,1365.901497,1257.506459	
kneel__pst	kneel	pst	no_cond	200	2	0.5778981450314735	2-10	0.577898,0.330161,0.061175,0.063200,0.053462,0.060051,0.055649,0.049201,0.055046	13316.623632,12834.957408,12374.552359,11967.786013,11673.574223,11420.337114,11103.888446,11091.522143,10729.398811	
knit__pst	knit	pst	no_cond	18	2	0.524325096892215	2-10	0.524325,0.253046,0.238865,0.245538,0.243771,0.102424,0.099849,0.087587,0.082344	988.032372,857.301647,764.765495,669.557930,576.424975,508.670076,434.562786,374.807376,321.918746	
know__pst	know	pst	no_cond	49	2	0.6087741209883353	2-10	0.608774,0.414935,0.140573,0.125034,0.082642,0.073005,0.063856,0.071053,0.085022	3079.704399,2698.696162,2515.632042,2401.535161,2324.335297,2239.891436,2145.208971,2035.639668,1952.003840	
lay__ppt	lay	ppt	no_cond	20	2	0.5469577844337337	2-10	0.546958,0.403478,0.285794,0.097485,0.129414,0.071194,0.069115,0.048918,0.065704	1478.687650,1227.940006,1082.998077,966.013849,861.551285,756.276414,671.074513,596.246185,517.415181	
lead__ppt	lead	ppt	no_cond	50	2	0.4610490368049565	2-10	0.461049,0.235149,0.232135,0.054874,0.052432,0.067152,0.070406,0.043083,0.059595	4406.741518,4156.877336,3987.554952,3779.214302,3660.659231,3470.433986,3264.105625,3192.284469,3038.645200	
lead__pst	lead	pst	no_cond	171	2	0.49312331468361714	2-10	0.493123,0.279533,0.277787,0.073240,0.070429,0.069875,0.063273,0.063539,0.069448	15314.470179,14664.088683,13891.743618,13338.369247,12967.101338,12556.701896,12222.157361,11975.365504,11723.885456	
leap__ppt	leap	ppt	no_cond	193	2	0.4660031075792744	2-10	0.466003,0.278735,0.091816,0.092699,0.078594,0.067222,0.060190,0.052162,0.059392	9931.656407,9366.423307,8840.021095,8364.889721,8177.781866,8126.725867,7901.626958,7782.341288,7643.463709	
leap__pst	leap	pst	no_cond	196	2	0.45636036310403066	2-10	0.456360,0.275375,0.079053,0.052624,0.049612,0.047290,0.049926,0.034762,0.030458	10413.130143,9785.789532,9414.314269,9166.334424,9051.773984,8729.957795,8652.300881,8561.931934,8336.006200	
learn__ppt	learn	ppt	no_cond	181	2	0.5934623090575643	2-10	0.593462,0.311542,0.079740,0.057729,0.055313,0.047302,0.052245,0.037056,0.044681	7570.478961,7220.167261,6960.029190,6757.579283,6610.708018,6491.022696,6383.957323,6272.023011,6234.478284	
learn__pst	learn	pst	no_cond	174	2	0.609149885888969	2-10	0.609150,0.367323,0.085611,0.070397,0.068693,0.064744,0.061430,0.044688,0.049988	8285.552667,7873.801186,7549.964454,7306.700195,7157.129245,7057.357843,6878.801805,6781.957011,6654.791213	
light__ppt	light	ppt	no_cond	181	2	0.5837325208733549	2-10	0.583733,0.322265,0.083834,0.085304,0.068193,0.069168,0.067294,0.053627,0.054058	15824.452629,15049.037269,14443.703903,13887.689716,13548.985051,13237.474686,12991.163426,12885.203875,12717.796478	
light__pst	light	pst	no_cond	126	2	0.598918363349141	2-10	0.598918,0.333322,0.087652,0.083717,0.066422,0.069232,0.051265,0.051706,0.048395	10673.454780,10064.882426,9547.960133,9280.649500,9029.488227,8851.202261,8724.903905,8499.634137,8420.683716	
plead__ppt	plead	ppt	no_cond	152	2	0.5707843406333882	2-10	0.570784,0.306343,0.084777,0.064939,0.055147,0.061954,0.047768,0.062692,0.049623	13037.042506,12399.520351,11859.089711,11468.592845,11222.945421,10880.431950,10729.602693,10448.284758,10358.257977	
plead__pst	plead	pst	no_cond	163	2	0.5542072526669363	2-10	0.554207,0.288677,0.075873,0.074908,0.071087,0.063380,0.051249,0.056315,0.052996	14620.315291,13865.160164,13239.639820,12830.789091,12550.467223,12170.756644,12007.712094,11703.706174,11556.815846	
prove__ppt	prove	ppt	no_cond	38	2	0.5268835522674733	2-10	0.526884,0.301455,0.085935,0.083282,0.082356,0.062378,0.084141,0.079547,0.083257	5033.151134,4680.777218,4340.767391,4132.151572,3962.181703,3723.233410,3461.714845,3290.838322,3092.777054	
see__ppt	see	ppt	no_cond	89	2	0.49108965039831637	2-10	0.491090,0.324010,0.147326,0.091150,0.069156,0.045499,0.068812,0.083596,0.045322	7130.221313,6592.528972,6155.073781,5986.148910,5827.307366,5608.740947,5476.622622,5340.125922,5202.039356	
see__pst	see	pst	no_cond	48	2	0.5552783610180388	2-10	0.555278,0.369249,0.159255,0.166054,0.120592,0.057630,0.087324,0.065781,0.067628	3103.168283,2799.463750,2645.101981,2470.807624,2358.050472,2244.689605,2143.595664,2030.766546,1920.661187	
sew__ppt	sew	ppt	no_cond	121	2	0.5245678351407528	2-10	0.524568,0.255560,0.189420,0.047719,0.036458,0.059920,0.055895,0.035892,0.037272	5795.456754,5585.352873,5402.259414,5237.677359,5177.208112,5053.405934,4945.830965,4853.214106,4745.505528	
shake__ppt	shake	ppt	no_cond	124	2	0.4922042342445709	2-10	0.492204,0.263051,0.075308,0.069886,0.063158,0.061038,0.059732,0.059962,0.044633	6395.196556,6051.750146,5783.403279,5604.158272,5427.444722,5262.086043,5162.220471,5060.518426,5009.692629	
shine__ppt	shine	ppt	no_cond	59	2	0.4628273989361498	2-10	0.462827,0.263883,0.122540,0.076552,0.085790,0.066256,0.091953,0.062649,0.066285	4271.579920,3962.863293,3725.092028,3585.124568,3382.253144,3281.477730,3062.292549,2952.058296,2865.074917	
shine__pst	shine	pst	no_cond	37	2	0.4829773488185492	2-10	0.482977,0.355590,0.127111,0.121653,0.059147,0.070776,0.067985,0.058818,0.075101	2331.981646,2149.279352,1994.656726,1853.989965,1776.974276,1641.879096,1567.984551,1476.343095,1387.535270	
