system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
bid__ppt	bid	ppt	prob	82	2	0.38260740595102594	2-10	0.382607,0.350873,0.296893,0.275644,0.279980,0.267360,0.149245,0.150959,0.142224	458477.415921,311150.687260,278271.358857,261358.535311,244053.927559,229855.577255,219565.577198,211324.033262,197447.251094	
bid__pst	bid	pst	prob	92	2	0.5668064679977703	2-10	0.566806,0.285290,0.207435,0.204681,0.161323,0.169760,0.175938,0.134621,0.145230	337580.775949,288671.824460,265932.290371,237965.272637,220554.548523,207376.821292,198693.290488,192193.524088,181343.773845	
break__ppt	break	ppt	prob	26	2	0.5774496791038363	2-10	0.577450,0.243952,0.155063,0.167399,0.144022,0.141530,0.112354,0.099027,0.133178	135843.243415,116026.283373,103069.708742,90850.324646,82909.514563,75555.283157,67761.885256,61342.818691,54527.273665	
bring__pst	bring	pst	prob	113	2	0.5142652234837467	2-10	0.514265,0.324814,0.341622,0.166470,0.163753,0.188335,0.156921,0.185089,0.144589	258750.630462,232948.771869,215756.949600,199673.793061,189990.969023,179936.220068,175713.061544,167685.618431,163881.903003	
burn__ppt	burn	ppt	prob	21	2	0.3101614803696015	2-10	0.310161,0.297698,0.298041,0.280781,0.122239,0.095855,0.059911,0.060509,0.050966	2628.459987,2216.139432,1807.463349,1472.262884,1322.940566,1116.088039,1030.892968,910.056949,808.278824	
creep__ppt	creep	ppt	prob	73	2	0.5724320114921101	2-10	0.572432,0.566179,0.237596,0.243798,0.236731,0.181606,0.146203,0.133660,0.161187	53424.402995,39481.204598,33600.716746,30004.410041,26551.386169,24087.166256,22568.256045,21124.002479,20256.065086	
dive__pst	dive	pst	prob	115	2	0.5396219087411606	2-10	0.539622,0.358489,0.244030,0.195032,0.196697,0.117863,0.125393,0.124703,0.116897	173947.540091,151863.189201,133035.494946,124509.475740,117070.892530,113922.745452,108741.784038,103775.551345,100430.539077	
eat__ppt	eat	ppt	prob	29	2	0.5573682830859487	2-10	0.557368,0.260672,0.232811,0.206475,0.190190,0.198577,0.181571,0.105681,0.172698	88348.518340,73536.189532,60263.972266,52884.157521,49126.836476,45262.349807,41143.618100,38757.709912,35833.387985	
fall__ppt	fall	ppt	prob	82	2	0.25632920212368177	2-10	0.256329,0.227820,0.216780,0.204758,0.193035,0.172756,0.155922,0.172198,0.157987	283807.348530,231893.364153,195867.586606,177216.795523,166665.067509,157537.123800,150036.437853,145007.381071,139642.701693	
fly__pst	fly	pst	prob	103	2	0.5176292890216244	2-10	0.517629,0.328468,0.192657,0.197759,0.150196,0.154049,0.142566,0.144746,0.143699	148786.685625,106007.565945,93663.374677,86170.831064,80208.960076,75452.319595,70715.683017,68313.525413,64292.381903	
hang__ppt	hang	ppt	prob	122	2	0.5670265592327095	2-10	0.567027,0.251711,0.186992,0.140448,0.131862,0.128260,0.100383,0.095185,0.105092	582210.797352,485779.913506,451494.385445,414842.930044,399180.576645,383315.559415,371669.613559,364954.589938,356574.358802	
knit__ppt	knit	ppt	prob	178	2	0.3369516932049644	2-10	0.336952,0.269173,0.245648,0.242691,0.233344,0.189960,0.166469,0.152533,0.161802	88671.590326,75366.349462,66468.726959,61152.299165,57319.918707,53651.436843,51165.874089,49310.511744,47963.015574	
know__pst	know	pst	prob	140	2	0.5963538873040126	2-10	0.596354,0.387285,0.166263,0.135390,0.139468,0.108285,0.090680,0.098104,0.092388	493720.271342,435672.096511,395659.411607,379286.872753,342784.250241,327593.700892,320859.652988,306232.660946,301655.472469	
lay__ppt	lay	ppt	prob	46	2	0.5405039587647628	2-10	0.540504,0.379839,0.331461,0.323780,0.292578,0.291055,0.193612,0.196102,0.274426	266866.113402,187120.003756,157742.081584,143760.694324,134106.675201,125434.105828,114440.178458,108482.360022,101787.137036	
