system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
begin__ppt	begin	ppt	all	200	2	0.2150277974516022	2-10	0.215028,0.176909,0.156631,0.096476,0.101235,0.105040,0.104468,0.092286,0.094480	25479.206174,24040.057067,22780.112277,21638.679603,20630.282060,19760.730206,19277.841236,18938.106850,18677.529174	
bid__pst	bid	pst	all	200	2	0.23757411349691576	2-10	0.237574,0.213375,0.220396,0.125673,0.119629,0.111786,0.114296,0.113128,0.105220	34834.683048,31926.902889,29447.236320,27612.553713,26568.362898,25640.830553,24590.033570,23813.926644,23430.493122	
break__ppt	break	ppt	all	199	2	0.22950453955075972	2-10	0.229505,0.187982,0.180492,0.059075,0.070359,0.071185,0.064179,0.053233,0.059837	39447.963943,37638.050647,36428.910171,35175.028347,34026.347462,33169.767599,32272.207186,32015.843027,31386.560945	
burn__ppt	burn	ppt	all	199	2	0.11100046035869114	2-10	0.111000,0.094683,0.099055,0.098556,0.093978,0.084471,0.065952,0.069717,0.071302	31116.302752,28892.522484,27316.147430,26178.318805,25306.999644,24766.991681,24177.358512,23624.168132,23403.382076	
burn__pst	burn	pst	all	198	2	0.14121660314074705	2-10	0.141217,0.121994,0.080150,0.098737,0.084417,0.061341,0.061326,0.053001,0.082431	29163.550386,27679.005823,26613.812725,25576.635570,24940.701558,24387.338733,23721.739490,23359.986155,22789.717295	
creep__ppt	creep	ppt	all	200	2	0.2711876663973973	2-10	0.271188,0.176581,0.163180,0.156696,0.077495,0.095884,0.088773,0.089428,0.081755	23772.312569,21640.723367,20152.418447,19221.085325,18701.420153,17910.872546,17355.993616,16925.395746,16691.975735	
creep__pst	creep	pst	all	199	2	0.24928357955586009	2-10	0.249284,0.218135,0.115046,0.111883,0.087254,0.090053,0.081244,0.043779,0.046001	21683.356199,19900.558934,18867.435824,18291.765865,17903.806107,17699.753118,17292.546066,16954.647971,16705.265699	
disprove__ppt	disprove	ppt	all	197	2	0.1941419194090776	2-10	0.194142,0.156593,0.128090,0.115029,0.087405,0.088897,0.086197,0.075714,0.081274	23652.161212,21530.351686,19916.207155,19172.539667,18531.610658,18165.665577,17737.470065,17441.746827,17219.548734	
dive__pst	dive	pst	all	198	2	0.20898190262758368	2-10	0.208982,0.134443,0.084094,0.078615,0.070244,0.076457,0.057658,0.044783,0.054619	21193.757079,19840.286020,19006.085533,18425.968539,17962.814864,17633.886535,17307.776685,16992.906791,16592.612397	
dream__pst	dream	pst	all	197	2	0.1833617494156089	2-10	0.183362,0.162226,0.169440,0.166090,0.119991,0.107276,0.098344,0.091601,0.088627	25526.551641,23930.808380,22438.414679,20927.116769,19918.812469,19236.824333,18771.905996,18365.664658,17810.047279	
drink__ppt	drink	ppt	all	200	2	0.12877662399270404	2-10	0.128777,0.098191,0.100751,0.095275,0.088007,0.078316,0.064157,0.063562,0.060108	24767.363895,22981.274111,21698.159570,21079.835821,20561.696828,20035.671740,19641.396530,19292.186746,18800.330159	
drive__ppt	drive	ppt	all	142	2	0.2934696212749839	2-10	0.293470,0.242651,0.231187,0.222244,0.085086,0.108211,0.089035,0.088402,0.077841	25816.385449,23433.945137,22465.343665,21501.206936,20893.257505,20374.904754,19740.046458,19293.991579,18823.607689	
eat__ppt	eat	ppt	all	199	2	0.2753168647371778	2-10	0.275317,0.198114,0.086244,0.077731,0.074551,0.060555,0.074291,0.056094,0.049657	33501.378618,32137.638743,30844.603995,30050.000396,29235.880196,28424.970729,28125.403951,27619.519946,27007.337169	
fall__ppt	fall	ppt	all	200	2	0.2551843223587293	2-10	0.255184,0.194199,0.114700,0.120314,0.099469,0.093772,0.078604,0.073236,0.078413	27528.858456,25652.754022,24193.102981,23247.995993,22338.324375,21683.489536,21340.015067,20702.589519,20323.586634	
fall__pst	fall	pst	all	199	2	0.1705928117557119	2-10	0.170593,0.120914,0.081493,0.095781,0.086089,0.087251,0.087845,0.067406,0.068211	31296.506741,29657.923333,28162.473210,26960.513020,26069.321314,25423.993347,24695.099750,24378.838592,23738.473854	
fly__pst	fly	pst	all	198	2	0.35308317122810945	2-10	0.353083,0.207465,0.128872,0.112306,0.083592,0.082333,0.076395,0.067557,0.074229	20508.263929,19166.352377,17909.370124,17318.527172,16874.151975,16361.242661,15915.286006,15796.681099,15231.054192	
forget__ppt	forget	ppt	all	200	2	0.18128716009804668	2-10	0.181287,0.156929,0.094829,0.092782,0.074104,0.064030,0.079886,0.063168,0.060509	20398.698465,19028.971032,18027.905193,17441.053489,17057.387549,16596.603857,16156.970519,15955.615366,15708.759993	
hang__ppt	hang	ppt	all	198	2	0.23457366561176218	2-10	0.234574,0.196922,0.095463,0.101776,0.080479,0.085361,0.078291,0.073840,0.095645	33006.208481,31230.362365,29545.303852,28359.395590,27835.667032,27097.389773,26641.926927,25857.112087,25420.125772	
