system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
bid__ppt	bid	ppt	cat	58	2	0.2320525717757862	2-10	0.232053,0.190332,0.166900,0.134013,0.143237,0.145515,0.136892,0.142157,0.120076	735798.361272,623472.268816,570555.726967,524849.470785,485757.785258,466214.633045,441017.888622,428653.421143,403291.981278	
bid__pst	bid	pst	cat	16	2	0.33863915667035704	2-10	0.338639,0.252577,0.215396,0.149445,0.131269,0.146284,0.152144,0.153115,0.146596	122674.069646,96375.201471,82563.102431,69850.154860,58179.429406,46567.519080,38816.119112,30927.751846,24266.952773	
bring__pst	bring	pst	cat	19	2	0.24633278758689162	2-10	0.246333,0.150114,0.178031,0.195249,0.179874,0.169177,0.169958,0.176906,0.166360	81458.800312,67075.778086,56374.378717,47113.080143,41594.155880,36188.696340,30761.031691,25916.806281,22002.945861	
burn__pst	burn	pst	cat	23	2	0.27574526770847196	2-10	0.275745,0.198531,0.155047,0.114589,0.148503,0.162258,0.169930,0.154240,0.158265	120375.243856,104568.966152,93146.832517,83815.785582,72707.385263,63235.502381,55817.846163,48878.884868,41977.123343	
creep__ppt	creep	ppt	cat	100	2	0.39277924286034627	2-10	0.392779,0.280986,0.228129,0.136659,0.104405,0.105485,0.096333,0.092242,0.070791	203408.563337,183014.030674,169903.487781,160434.786917,151594.206574,148232.223403,140440.250662,138473.344171,133008.508283	
creep__pst	creep	pst	cat	150	2	0.29715222130842706	2-10	0.297152,0.245947,0.219464,0.189865,0.166245,0.143817,0.133197,0.113608,0.107899	481986.357904,399167.808785,350684.752572,332480.566296,320024.099606,305436.640654,295685.051905,288716.146717,277478.878614	
drive__ppt	drive	ppt	cat	93	2	0.31326496132348874	2-10	0.313265,0.223305,0.161073,0.177007,0.172115,0.163027,0.165318,0.132108,0.134738	331419.765440,291617.035045,264417.559293,243347.972374,226767.419778,211983.495946,203027.810742,192265.261146,185968.288563	
fall__ppt	fall	ppt	cat	69	2	0.23492847417777357	2-10	0.234928,0.231869,0.196147,0.141375,0.154679,0.113929,0.133909,0.126359,0.112797	426187.927982,341887.521758,310682.369660,291715.777853,269514.455245,257814.089358,242864.080923,236680.246974,224440.600561	
fly__pst	fly	pst	cat	68	2	0.1421531569041063	2-10	0.142153,0.126786,0.117686,0.122237,0.089828,0.105192,0.114381,0.101194,0.092621	244818.936075,215914.482698,200042.240017,183892.962230,174819.156484,163732.613458,155978.324285,151192.704500,144625.393026	
hang__ppt	hang	ppt	cat	67	2	0.2308390012554384	2-10	0.230839,0.187344,0.191352,0.139378,0.127517,0.131797,0.132184,0.135956,0.140178	693890.652876,582253.357336,535721.333116,504995.823911,469168.325603,445120.457718,425466.634320,399264.316358,377580.018129	
lay__ppt	lay	ppt	cat	91	2	0.25503519505463373	2-10	0.255035,0.240241,0.229433,0.228976,0.195219,0.185531,0.170410,0.166437,0.168229	911321.270607,785380.504682,705902.554294,656212.034443,620304.890104,588087.925111,560275.648469,538966.392668,521185.785513	
lay__pst	lay	pst	cat	91	2	0.42536490364512036	2-10	0.425365,0.397249,0.170516,0.170808,0.167016,0.143229,0.112822,0.098560,0.105831	610782.787256,528989.028640,473701.139904,437005.789963,413306.493062,404753.030860,381447.831486,366855.886618,349516.505730	
plead__ppt	plead	ppt	cat	25	2	0.3544053604075299	2-10	0.354405,0.189152,0.151590,0.107370,0.107200,0.102959,0.083757,0.095389,0.078204	80607.624085,64086.123774,57865.826600,53415.876020,48622.703042,43239.526634,40542.976461,36371.015224,33522.175751	
plead__pst	plead	pst	cat	29	2	0.3396296393239016	2-10	0.339630,0.166865,0.135781,0.162164,0.154656,0.130022,0.154110,0.143907,0.130430	96642.806260,77795.696008,69108.428577,59267.692359,53142.946986,49793.662902,44812.422717,41183.713579,36788.085702	
ring__ppt	ring	ppt	cat	151	2	0.34992588780987394	2-10	0.349926,0.288508,0.257124,0.202601,0.160592,0.128568,0.131986,0.131248,0.118559	886492.062827,738320.829745,663160.141508,620681.322489,589024.697994,560980.702690,543380.146815,520158.095710,502976.331132	
see__ppt	see	ppt	cat	19	2	0.34673945940076023	2-10	0.346739,0.221457,0.174790,0.210221,0.169472,0.159895,0.174179,0.199422,0.189295	203680.560597,157119.255124,136760.635911,114546.939524,97431.411065,83907.935402,71442.555892,58515.844912,48078.134517	
shake__ppt	shake	ppt	cat	27	2	0.29594656775938133	2-10	0.295947,0.271667,0.218809,0.159783,0.158073,0.151604,0.150723,0.152550,0.131993	97493.211156,75896.176227,67364.065342,61158.856566,53511.974303,47540.730174,43662.470132,37921.744266,34907.242988	
shine__ppt	shine	ppt	cat	66	2	0.21636057094732797	2-10	0.216361,0.172255,0.160149,0.113741,0.150024,0.132879,0.132322,0.119126,0.123036	208873.230151,179683.522187,166674.765947,156678.751223,142226.181648,140442.930888,128069.315903,121434.372837,117847.507015	
sink__pst	sink	pst	cat	31	2	0.27734119342647895	2-10	0.277341,0.197876,0.176891,0.165720,0.170259,0.133235,0.143451,0.141360,0.116648	87348.510968,72805.651057,63313.223633,55954.587601,51990.216873,48022.278793,44278.336007,40398.091115,36827.768848	
speak__pst	speak	pst	cat	25	2	0.2956158455489707	2-10	0.295616,0.187052,0.163342,0.215299,0.134921,0.156511,0.150832,0.115281,0.144241	62667.195435,52560.500557,47648.788479,43014.348440,37162.243231,32564.757081,28682.947911,25957.082413,23030.511004	
speed__ppt	speed	ppt	cat	22	2	0.20609506561827032	2-10	0.206095,0.195167,0.189597,0.150438,0.173811,0.161227,0.161759,0.172805,0.169105	71458.244714,58807.942069,47283.341687,41189.719671,33057.834613,28967.205214,24518.189005,21444.416447,18767.341956	
spell__ppt	spell	ppt	cat	20	2	0.30421465046385887	2-10	0.304215,0.229138,0.179516,0.176301,0.152222,0.157506,0.148833,0.144474,0.144915	68755.192270,55129.627718,48172.647153,42350.313462,37073.998309,32230.203558,28835.242056,25433.812951,21580.569111	
spill__ppt	spill	ppt	cat	16	2	0.34934116553534017	2-10	0.349341,0.201655,0.183395,0.206486,0.190166,0.181535,0.180712,0.130282,0.117087	24311.441494,18779.653165,15884.031003,13125.356460,11122.046401,9416.701480,7834.561273,6557.371499,5350.351192	
spill__pst	spill	pst	cat	38	2	0.280638546002105	2-10	0.280639,0.195161,0.150920,0.158004,0.127481,0.113926,0.089105,0.135441,0.102208	122268.010428,105048.753195,97184.567176,90211.865079,83455.928303,79853.001396,73910.517620,67116.468066,62087.010988	
tear__ppt	tear	ppt	cat	18	2	0.33616965279944305	2-10	0.336170,0.147251,0.157155,0.176390,0.176808,0.105902,0.106558,0.127177,0.069925	59216.009720,49362.474748,42664.167701,36283.725750,29873.848343,26423.619613,22452.951564,19003.053438,16745.313074	
tread__ppt	tread	ppt	cat	18	2	0.2733753999179622	2-10	0.273375,0.183878,0.182373,0.137534,0.187808,0.139435,0.160664,0.154453,0.154836	69367.891624,55694.293046,47548.719093,42697.525910,36288.532969,31813.749222,25611.294509,21856.945918,18332.882966	
tread__pst	tread	pst	cat	42	2	0.12509115914525284	2-10	0.125091,0.105041,0.106880,0.098437,0.096704,0.094059,0.086478,0.080805,0.066045	161152.259993,148227.766142,134042.768397,125917.455038,117953.241545,109050.872483,101708.882110,96644.035081,93848.165347	
weave__pst	weave	pst	cat	28	2	0.3973349559258154	2-10	0.397335,0.326361,0.306890,0.135081,0.124032,0.114385,0.126377,0.090166,0.066691	109427.137616,86834.151643,77676.120620,69552.804842,63816.633166,58758.481089,52159.446984,47954.690642,43935.453140	
hang__pst	hang	pst	cat	169	3	0.35985344162905003	2-10	0.329117,0.359853,0.271662,0.260286,0.252361,0.241094,0.232566,0.154742,0.178662	1304088.647567,990422.446528,832435.921158,774134.695262,740754.607349,710322.732269,690969.789993,666172.393088,651497.772051	
