system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
begin__ppt	begin	ppt	no_cond	176	2	0.22283987231009855	2-10	0.222840,0.187085,0.103498,0.099437,0.113257,0.114322,0.109308,0.096785,0.095187	21632.660419,20238.149784,19146.695779,18082.994704,17045.151063,16314.372876,15848.839087,15558.280086,15216.778180	
bid__ppt	bid	ppt	no_cond	20	2	0.2460109940976923	2-10	0.246011,0.223553,0.154185,0.118311,0.110299,0.099877,0.091467,0.110072,0.106204	2849.104432,2456.948523,2125.684772,1910.305566,1718.068298,1558.704301,1388.262475,1186.190843,1035.804479	
bid__pst	bid	pst	no_cond	60	2	0.250680460026789	2-10	0.250680,0.217508,0.186951,0.179901,0.153011,0.121832,0.121590,0.091866,0.099128	9338.227474,7985.021386,6958.256278,6414.568003,6037.303229,5744.776039,5470.870724,5379.444360,5052.859489	
break__ppt	break	ppt	no_cond	75	2	0.21917395731970946	2-10	0.219174,0.183125,0.180296,0.188265,0.170211,0.083001,0.062653,0.073081,0.072266	14881.252338,13831.391471,13049.590499,12214.093595,11897.499575,11473.854208,11212.086955,10681.148386,10420.334736	
bring__pst	bring	pst	no_cond	61	2	0.20027246828135478	2-10	0.200272,0.188200,0.171201,0.114654,0.162458,0.100981,0.073827,0.062175,0.092146	7696.739134,7107.359017,6580.904720,6189.240638,6001.319016,5846.099666,5637.330469,5429.434642,5173.248438	
burn__ppt	burn	ppt	no_cond	131	2	0.12445894041654613	2-10	0.124459,0.101331,0.106174,0.100430,0.075098,0.087420,0.071758,0.073493,0.057484	18293.770766,16791.112328,15546.729306,14934.227366,14564.517722,14126.881836,13877.080134,13425.417162,13214.800932	
burn__pst	burn	pst	no_cond	107	2	0.1292953202163774	2-10	0.129295,0.096705,0.107951,0.111841,0.099011,0.105728,0.088299,0.060013,0.061885	15883.181603,14779.224210,13863.923639,13009.380845,12590.909047,12249.896560,11999.591763,11833.737847,11436.278173	
disprove__ppt	disprove	ppt	no_cond	197	2	0.1941419194090776	2-10	0.194142,0.156593,0.128090,0.115029,0.087405,0.088897,0.086197,0.075714,0.081274	23652.161212,21530.351686,19916.207155,19172.539667,18531.610658,18165.665577,17737.470065,17441.746827,17219.548734	
dive__pst	dive	pst	no_cond	67	2	0.19436152612783325	2-10	0.194362,0.132586,0.085111,0.072790,0.062544,0.043169,0.053104,0.051418,0.053006	6504.369308,5928.440458,5650.112695,5504.882853,5315.964459,5166.958270,4936.823225,4780.088217,4590.646076	
drink__ppt	drink	ppt	no_cond	132	2	0.1263554059094742	2-10	0.126355,0.116446,0.097901,0.085089,0.086153,0.076063,0.074328,0.065637,0.071251	16409.994165,15114.108059,14184.267360,13704.908946,13274.059896,12856.020144,12574.951770,12292.939929,11985.683282	
