system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
break__ppt	break	ppt	prob	26	2	0.35281898888447344	2-10	0.352819,0.337428,0.338503,0.349677,0.164033,0.107612,0.123952,0.124614,0.122810	174580.160134,148712.650141,124618.139729,102663.838819,87540.804532,79191.228378,66742.328815,56968.620282,50029.370764	
bring__pst	bring	pst	prob	113	2	0.27449348663083567	2-10	0.274493,0.254194,0.219823,0.221832,0.158007,0.150689,0.171925,0.169015,0.171079	498110.821315,395229.448294,366199.592685,342868.444597,326855.861970,313520.026837,292546.424745,282812.655558,275192.697026	
burn__ppt	burn	ppt	prob	21	2	0.4838169945753726	2-10	0.483817,0.106877,0.087958,0.092849,0.066928,0.093089,0.097063,0.085314,0.079770	87647.572698,73035.250463,61348.713550,52610.368604,46318.878480,41211.711479,34993.273744,30596.313519,26962.643962	
creep__ppt	creep	ppt	prob	73	2	0.19749120784869148	2-10	0.197491,0.163551,0.126910,0.136227,0.135910,0.144967,0.139161,0.127252,0.117287	178839.760492,156956.186843,141659.847968,130945.313927,121744.516178,114261.562514,109472.934486,103690.055701,100007.267960	
creep__pst	creep	pst	prob	42	2	0.22871630158170278	2-10	0.228716,0.195072,0.182708,0.167489,0.114509,0.109248,0.099891,0.086920,0.065160	102360.094383,84232.882459,70218.412627,64982.918428,61145.375120,58113.938304,54942.372344,50515.061044,48619.479007	
dream__pst	dream	pst	prob	190	2	0.17865542140675786	2-10	0.178655,0.115709,0.101722,0.102878,0.102086,0.098471,0.092008,0.089987,0.094281	1277579.591190,1162293.193284,1094512.073367,1029606.014817,987258.272523,947102.355879,923633.912990,899889.316818,872614.469248	
drink__ppt	drink	ppt	prob	51	2	0.18280036113760487	2-10	0.182800,0.150895,0.143461,0.133433,0.127274,0.064769,0.091467,0.104250,0.086253	105065.279017,89746.337213,83199.368486,76786.555709,74206.042691,70199.932861,65259.847111,62640.378763,59086.560331	
fall__ppt	fall	ppt	prob	82	2	0.187828140162809	2-10	0.187828,0.131506,0.124327,0.118961,0.104525,0.121581,0.095901,0.111814,0.102201	620129.386299,558840.023798,512383.967678,481435.972867,458121.504363,439621.803079,416193.265384,396062.476201,382915.089203	
fly__pst	fly	pst	prob	103	2	0.2577109713479242	2-10	0.257711,0.216330,0.215322,0.216392,0.140299,0.150704,0.151809,0.177074,0.149724	131025.258501,110445.080614,92744.490987,87358.713601,82213.422241,77926.929369,73744.252917,68570.537056,65948.906433	
hang__ppt	hang	ppt	prob	122	2	0.3748973480097497	2-10	0.374897,0.128602,0.132593,0.134689,0.131276,0.136602,0.126727,0.058751,0.099072	656164.011464,590782.524925,543291.514877,515374.593560,493271.644952,472717.968824,450981.902032,448406.561742,427252.280501	
knit__ppt	knit	ppt	prob	178	2	0.20657656672021135	2-10	0.206577,0.163174,0.174894,0.176938,0.159338,0.159810,0.156475,0.157790,0.149100	718443.174609,631325.468596,571588.891116,539323.819742,510762.766617,487375.981042,469068.242637,460495.342473,447057.856643	
knit__pst	knit	pst	prob	141	2	0.1735841505498837	2-10	0.173584,0.171869,0.166513,0.151229,0.151049,0.126320,0.158238,0.107130,0.120505	492748.663788,441962.743500,412213.069615,382584.131900,362736.461248,353464.251674,338498.921012,325380.147134,311547.159812	
know__pst	know	pst	prob	140	2	0.25912607253233516	2-10	0.259126,0.204785,0.181980,0.166676,0.166425,0.166313,0.101480,0.119796,0.087797	986305.923205,857086.601534,759987.739325,713034.801159,679170.732893,646224.498599,630128.827792,612530.841459,596187.698818	
lay__ppt	lay	ppt	prob	46	2	0.4590493987301318	2-10	0.459049,0.349089,0.227951,0.270678,0.200703,0.183225,0.177681,0.248293,0.204908	189892.861275,158384.315659,143281.302717,132284.381448,118749.851134,111024.177462,102337.552172,96108.527396,88353.322475	
lay__pst	lay	pst	prob	71	2	0.25501217662194103	2-10	0.255012,0.243440,0.247477,0.141564,0.191924,0.185463,0.148024,0.146909,0.152560	637708.030338,528514.548467,480671.933919,433763.414401,389669.968866,369246.516296,354461.248050,335061.880098,316863.801010	
lead__ppt	lead	ppt	prob	132	2	0.16440302081333869	2-10	0.164403,0.147566,0.148384,0.129922,0.117313,0.111707,0.113107,0.114412,0.095114	1610623.555631,1456823.432394,1356641.438776,1261897.672834,1197103.344742,1161187.105938,1094163.173815,1062380.851743,1034659.135029	
lead__pst	lead	pst	prob	20	2	0.32043803055406783	2-10	0.320438,0.211489,0.185915,0.188931,0.150208,0.138394,0.129832,0.122110,0.124181	218815.400161,167993.370468,142968.965869,122936.537619,109305.740912,97647.842750,86057.202952,74823.337289,64772.176410	
learn__pst	learn	pst	prob	22	2	0.2177388277287265	2-10	0.217739,0.216003,0.192803,0.150095,0.120426,0.135513,0.142335,0.134892,0.147438	115964.185640,91025.382756,79022.874448,71722.500895,66461.589433,59001.145424,51321.022938,44770.852522,39846.210636	
light__pst	light	pst	prob	48	2	0.3172117692396719	2-10	0.317212,0.156911,0.138525,0.166851,0.110353,0.113817,0.157690,0.149315,0.133653	385309.826428,342164.316841,313475.120266,279942.871363,273123.552923,249850.408542,226423.827120,221108.167800,204294.288074	
see__pst	see	pst	prob	133	2	0.2939943709214063	2-10	0.293994,0.221855,0.127105,0.150162,0.152054,0.131107,0.145417,0.135324,0.117254	1054370.293430,972580.466163,899463.107921,832631.393576,790304.874833,747050.065804,716285.901293,697500.514814,666717.405483	
sew__ppt	sew	ppt	prob	53	2	0.23523804290952652	2-10	0.235238,0.196183,0.199651,0.151390,0.110813,0.103422,0.137194,0.137637,0.116989	174642.135622,145063.887436,129844.252862,120999.710842,115607.807091,109184.363918,101452.630196,97255.149134,89612.888033	
shine__ppt	shine	ppt	prob	27	2	0.30877952933718	2-10	0.308780,0.287466,0.136165,0.141733,0.120644,0.108889,0.128674,0.134356,0.134473	72023.396943,61413.233051,52354.077109,46346.431723,42584.722499,37367.421289,32488.300758,28476.168324,25833.305637	
shine__pst	shine	pst	prob	92	2	0.1511938956541364	2-10	0.151194,0.142984,0.128320,0.129808,0.125886,0.111840,0.072155,0.104785,0.089468	273951.262576,240343.412489,222653.350180,208507.471522,198104.617416,192020.168727,187304.044422,178395.462261,172469.111863	
sink__pst	sink	pst	prob	59	2	0.27203343748273295	2-10	0.272033,0.166822,0.151654,0.128509,0.119152,0.092938,0.100787,0.115418,0.074581	245497.972647,217089.968482,202276.423788,186625.957635,178318.732178,170965.290036,161937.477229,155668.025774,149399.986367	
spell__ppt	spell	ppt	prob	115	2	0.2917329229780176	2-10	0.291733,0.192202,0.190048,0.154982,0.134345,0.172326,0.129629,0.101487,0.130230	433014.852333,389773.505357,357994.765350,339917.358989,325967.390292,317549.901290,309189.611158,297981.520685,281935.450002	
spill__pst	spill	pst	prob	62	2	0.27981227462235564	2-10	0.279812,0.137097,0.081084,0.138930,0.087335,0.089835,0.094163,0.098658,0.084082	189711.430503,173229.047883,160542.405633,151980.914737,143917.074617,131100.908687,122663.924652,116759.662246,112283.765514	
take__ppt	take	ppt	prob	77	2	0.27550110678428713	2-10	0.275501,0.156130,0.130245,0.116919,0.104291,0.099682,0.073641,0.091760,0.080503	1036813.128930,911845.619802,858276.496784,812794.151319,772476.548950,753908.555525,738851.108497,699630.033732,681129.429238	
throw__pst	throw	pst	prob	33	2	0.2922950155285741	2-10	0.292295,0.231256,0.220320,0.212088,0.196325,0.194786,0.184595,0.177982,0.186038	199833.362619,154981.427008,140331.355312,125499.898893,112732.407842,100355.907613,93322.064266,81573.378186,72408.827619	
