model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	raw	raw_label	200	4.0	1.2222340996035292	140.0	2.0	0.0	0.25	0.08784392106918099	0.01630885620729308	0.4615398452915613	0.5712978981147574	0.8078794737642306	3.657598337257601	4.050287369148455	0.9030466245723661	0.8	0.79	0.25994053736843115	0.3450512935554125	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-exclude	conditioned_exclude_label	198	3.0	1.1529706704117353	140.0	22.0	0.0	0.0	0.14555416494097986	0.06950782770530958	0.46155052390652085	0.572968559468842	0.8055424966675157	3.65767005959422	4.063594571676348	0.9001070345670157	0.8181818181818182	0.8080808080808081	0.2622858832497477	0.3009075507095823	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	begin__ppt	begin	ppt	200	198	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-cat-only	cat_only_label	0																			
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	raw	raw_label	171	7.0	2.005959814418014	82.0	1.0	0.2857142857142857	0.2857142857142857	-0.0015058810412133835	-0.027504674025123074	0.36437870158848196	0.5043662956334681	0.7224485552327279	3.354801577066174	3.8523985009895205	0.870834514187581	0.8421052631578947	0.8362573099415205	0.2752045018710019	0.5022791692534679	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-exclude	conditioned_exclude_label	78	4.0	1.5571643471379213	40.0	1.0	0.25	0.25	0.11871469385197038	0.0633473438142454	0.3858435125863096	0.5228262907794914	0.7379956199429993	3.2700050394714717	3.8716537163101314	0.8446016299691029	0.9487179487179487	0.9487179487179487	0.41530019400206053	0.6064868151703755	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-cat-only	cat_only_label	58	3.0	0.9896363038042916	40.0	1.0	0.3333333333333333	0.3333333333333333	0.14893240777378075	0.07917091749131826	0.39147132946782076	0.5295218291025745	0.7392921461449103	3.273259615363287	3.8893706168373208	0.8415910793363708	0.9482758620689655	0.9482758620689655	0.4789294970116888	0.6045784483448505	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	raw	raw_label	200	10.0	2.1208109300257063	92.0	1.0	0.2	0.3	-0.055076722655776296	-0.05459110763733995	0.3449194799589516	0.5370232842571858	0.6422803071491519	3.5183023643459266	4.29401655255118	0.8193499771805997	0.815	0.835	0.32552386246562004	0.4722732483751764	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-exclude	conditioned_exclude_label	76	2.0	0.7424875695421236	60.0	16.0	0.0	0.0	0.4094239469063435	0.2078668479075076	0.32080495751779187	0.5778973918546434	0.5551244252690499	3.565022669199799	4.489502925254277	0.7940795960162746	0.9473684210526315	0.9473684210526315	-0.00674373795761079	0.18256114326122355	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-cat-only	cat_only_label	16	1.0	-0.0	16.0	16.0	0.0	0.0													0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	raw	raw_label	199	28.0	3.9567734612441186	26.0	1.0	0.42857142857142855	0.4642857142857143	-0.07846429343600746	-0.047693273908427945	0.474350809207546	0.5861879153036239	0.8092128766623407	3.586916089865745	4.033970359925759	0.8891776016747329	0.5577889447236181	0.5527638190954773	0.1536063507779826	0.2807754941654269	0.0
