model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	begin__ppt	begin	ppt	199	197	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	raw	raw_label	199	4.0	1.2158606829788767	140.0	2.0	0.0	0.25	0.0117336593115734	-0.0007874574692725125	0.5146246901736591	0.5829422380398283	0.8828056308016207	1.5059691672129345	1.5793848497276641	0.9535162803876529	0.6030150753768844	0.592964824120603	0.0576040501959945	0.16682232471339886	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	begin__ppt	begin	ppt	199	197	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-exclude	conditioned_exclude_label	197	3.0	1.1462547454696266	140.0	22.0	0.0	0.0	0.019700267112172234	0.003113618062691182	0.5146415177535202	0.5798294432171257	0.8875739646784461	1.5059975276256454	1.5747281375698825	0.9563539837102917	0.5989847715736041	0.5888324873096447	0.08933028807449145	0.13980464047563393	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	begin__ppt	begin	ppt	199	197	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	raw	raw_label	171	7.0	2.005959814418014	82.0	1.0	0.2857142857142857	0.2857142857142857	-0.20886586460606954	-0.12610147229728272	0.5134665812307813	0.6314105039334856	0.8132056372709173	1.5307423166749214	1.724311496387224	0.8877411766273852	0.36257309941520466	0.3391812865497076	0.06946793196461265	0.18298659071252335	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-exclude	conditioned_exclude_label	78	4.0	1.5571643471379213	40.0	1.0	0.25	0.25	0.13785947929099468	0.057055719237307144	0.4244236533187636	0.6814250799352224	0.6228471270225483	1.489090396300705	1.8110415063954364	0.822228751269473	0.7307692307692307	0.6538461538461539	0.3363555337000953	0.4060189581607251	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-cat-only	cat_only_label	58	3.0	0.9896363038042916	40.0	1.0	0.3333333333333333	0.3333333333333333	0.37488458962145327	0.17808850579812152	0.3915126427165212	0.7934573665209483	0.4934261867567963	1.4475293788484653	1.939127316189366	0.7464849609220329	0.9655172413793104	0.9655172413793104	0.5710809019040355	0.6331137478648363	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	raw	raw_label	200	10.0	2.1208109300257063	92.0	1.0	0.2	0.3	-0.23319422464388123	-0.11855521019054917	0.42666539715504165	0.46052966607090196	0.926466693872775	1.4546096122563186	1.5561725161105031	0.934735446871899	0.46	0.47	0.04122462219508472	0.10256697230216917	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-exclude	conditioned_exclude_label	76	2.0	0.7424875695421236	60.0	16.0	0.0	0.0	0.06271572730917141	0.04388132319359122	0.3809691491817623	0.41363989524598804	0.9210164531039813	1.434124808114363	1.5115997430696608	0.9487463957899551	0.7368421052631579	0.7236842105263158	-0.0026776748856409682	0.07332347763221847	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-cat-only	cat_only_label	16	1.0	-0.0	16.0	16.0	0.0	0.0													0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	break__ppt	break	ppt	198	126	72	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	raw	raw_label	198	28.0	3.9537957327683686	26.0	1.0	0.42857142857142855	0.4642857142857143	-0.27125882601159496	-0.17938184561073994	0.6208422451506755	0.6424070214927253	0.9664312879209493	1.513562389971297	1.5691907820610267	0.9645496311056164	0.1919191919191919	0.18686868686868688	0.02895147268515368	0.07265954637622259	0.0
