embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	answerdotai_ModernBERT-base	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.4834437353065709	0.3532420632960693	0.3250585610033843	0.23449665113505586	0.9154723055907223	0.885792349726776	0.914348602798231	0.8852459016393442	0.2727097909109051	0.27495000572424166	0.5224848017065374	0.5271303801857419	0.5259970432019797	0.46658862780318394	0.5815954375908283	0.5549935206486497
delta	0	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.47234876655685226	0.3463676084380192	0.3163226431670994	0.22924946002057203	0.9129108603055925	0.8842105263157894	0.9117531059133289	0.8836565096952909	0.2764257189664556	0.27667944950050904	0.5266045454891112	0.5290777087633614	0.5116333172384034	0.45920065865918375	0.568916511457217	0.5488299960038941
delta	0	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.8495777040472855	0.8495777040472855	0.6133438496007876	0.6133438496007876	1.0	1.0	1.0	1.0	0.15008416507773922	0.15008416507773922	0.3865332568816081	0.3865332568816081	1.0	1.0	1.0	1.0
delta	0	answerdotai_ModernBERT-base	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	-0.053766057217683086	-0.08390114368949513	-0.02000700684013928	-0.03760910139549738	0.4942296597829253	0.4647868501937725	0.4711485815076213	0.4360550581317653	0.7909959155396585	0.8386350341121568	0.8622148586937626	0.8904024840776358	0.12632483952759288	0.0937035908186382	0.1922348613390961	0.15626103250632187
delta	0	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	-0.050386381873551996	-0.09139457367802536	-0.016707393166104582	-0.03976486554734377	0.5164134558834492	0.4897400820793434	0.49217011614790074	0.4575923392612859	0.7575383790091584	0.7966033651978867	0.8406704911673583	0.8624952497835762	0.14313782082531232	0.11262484033627798	0.21747475955513643	0.18883129250732814
delta	0	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.07291755083442594	-0.05709895495987754	-0.038704817659669224	-0.02989845383586572	0.36852148187995665	0.37553516819571864	0.35202655187937126	0.35902140672782873	0.9805886225458254	0.9889721593786107	0.9842996080100536	0.99021991903278	0.031051278840515957	0.026026852482762215	0.049208771448200836	0.03976508113880833
delta	0	answerdotai_ModernBERT-base	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.3382472009657689	-0.3402211229573572	-0.18935079967449323	-0.19026300547592775	0.3770892310439468	0.3715858715858716	0.2946165790174835	0.2902902902902903	0.8457633805775422	0.8483762828028527	0.8993091309467883	0.9005857365015533	0.08076955070032069	0.08039234452889088	0.14090392656436362	0.1399981232156742
delta	0	answerdotai_ModernBERT-base	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.36862075667498295	-0.37193234096025	-0.20745236431375003	-0.20911273217927054	0.38402431926638697	0.3785814116002795	0.2893591116561614	0.28476589797344515	0.8259192428794232	0.8281733576651577	0.8863703815518421	0.8873064249320854	0.08797058173442655	0.08771251049693765	0.15423658766318138	0.1535862789220473
delta	0	answerdotai_ModernBERT-base	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.19338870450644013	-0.19718328856132966	-0.10302026062572998	-0.10523870630340261	0.34401419490615476	0.3400315208825847	0.3196906541253275	0.31520882584712373	0.9404046526762634	0.9395043706579874	0.9610170126765323	0.9604839078361758	0.04642617192227733	0.047373723566637285	0.07731738901615581	0.07870686768905519
delta	1	answerdotai_ModernBERT-base	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.4819869212795438	0.3413162613788825	0.3248647153101598	0.22518959551967943	0.8875168991828224	0.840983606557377	0.8839933677394698	0.8360655737704918	0.28016656657082156	0.2886653621515267	0.52472931869978	0.5358081768148585	0.5933332980392618	0.49304683525021664	0.6562704911057229	0.5941901952106162
delta	1	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.47155509927723877	0.3345999070024736	0.31729708006612334	0.22035016223929596	0.8841083203701807	0.838781163434903	0.8804780152467263	0.8337950138504155	0.2832676237870017	0.2902004547237518	0.5274798687999902	0.5372188002417562	0.5810100646465122	0.48602532327307274	0.6458544453816538	0.5885695607952506
delta	1	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.8262370473556112	0.8262370473556112	0.574596678363364	0.574596678363364	1.0	1.0	1.0	1.0	0.17783167843687683	0.17783167843687683	0.43396116539284585	0.43396116539284585	1.0	1.0	1.0	1.0
delta	1	answerdotai_ModernBERT-base	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	-0.056841064353431864	-0.08507660739191049	-0.01738232021938894	-0.0318822747446829	0.47927875627669986	0.4536950420954163	0.47785609959531067	0.4494186823466524	0.7973819583812022	0.8417126972689468	0.8632187778129645	0.8871678423942078	0.11815384838267352	0.08176685564753491	0.17938170872038814	0.13945098910552872
delta	1	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	-0.053885037490162234	-0.09214479054619303	-0.013712249468251198	-0.03253116992725161	0.5023110008929134	0.48136114911080713	0.5050576460259921	0.4832421340629275	0.7651420522544878	0.8008173822499361	0.8422750725678835	0.8596503441137942	0.13745529421077993	0.10318631225510604	0.20794439128509587	0.1747273909757428
delta	1	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.07359188324529305	-0.05979542385292315	-0.038179387809169456	-0.0295613334433607	0.34876270345149013	0.3547400611620795	0.3237140031547821	0.3284403669724771	0.9800747597659174	0.9879853591840383	0.9818997742017572	0.9855912857849473	0.008778988690070771	0.005154634093360076	0.017526507520377606	0.013275822049252326
delta	1	answerdotai_ModernBERT-base	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.3477934339379885	-0.35121975701624275	-0.19912519636927198	-0.2007260322528152	0.3522639298207333	0.3462748462748463	0.2824028966571466	0.2757042757042757	0.8472648412278009	0.8492723048653501	0.8968513481947716	0.8978330885856859	0.06154983400987567	0.060257606841724785	0.10859275942057212	0.10698283401043496
delta	1	answerdotai_ModernBERT-base	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.3781033284688361	-0.3831440688336506	-0.218971809102278	-0.22151844778998134	0.3569066648040381	0.35080363382250174	0.27903659510339524	0.2717505241090147	0.8288655506056337	0.8304895778495828	0.8851637803218715	0.8857907133208917	0.06738272958862229	0.06599331819705852	0.12099844567019753	0.11957160000629372
delta	1	answerdotai_ModernBERT-base	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.20323855232933077	-0.20722073349942394	-0.10447212025801257	-0.1069389664255981	0.3301216552849719	0.32584712371946417	0.2984575656058068	0.29353821907013394	0.9350153041950595	0.933994392681151	0.9525920565116799	0.9521518876524178	0.03373140894200722	0.03438588753681524	0.04942717884543546	0.05019946398656127
delta	2	answerdotai_ModernBERT-base	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.48590709923060577	0.35046452724030375	0.32835484115620944	0.23736466121062758	0.9047624860416856	0.8765027322404372	0.9032490051311541	0.8759562841530054	0.2562125155207605	0.25630064930200497	0.5118116236033258	0.5104638628747096	0.5884497376154189	0.4952783507419613	0.6406208382132417	0.5779436153008513
delta	2	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.4754319098211967	0.343800762385722	0.3206053044071315	0.23256237737870022	0.9018765007702216	0.874792243767313	0.9003171568017951	0.8742382271468144	0.258956311867684	0.2575559597345495	0.5147107024418119	0.511770259563649	0.5759785175431588	0.48828774618160065	0.6297305605833398	0.572097959003079
delta	2	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.831588349741105	0.831588349741105	0.5840895538757848	0.5840895538757848	1.0	1.0	1.0	1.0	0.16566723607228856	0.16566723607228856	0.4161420219332838	0.4161420219332838	1.0	1.0	1.0	1.0
delta	2	answerdotai_ModernBERT-base	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	-0.058456556674290124	-0.08764322622853085	-0.022238884246608182	-0.039693928401025966	0.49437191257396307	0.46892957370038757	0.47214441726469086	0.4399305091540826	0.7853928172152445	0.8337876938328818	0.8585202189940341	0.8865605790515053	0.12171242363615836	0.09026269218548225	0.18454919838371894	0.1495460138595915
delta	2	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	-0.056167767498404506	-0.09635310367963465	-0.019689473490415714	-0.04306969547762286	0.5164871047660488	0.4948700410396717	0.49249849184986483	0.4606703146374829	0.7510937872968523	0.7905737983174835	0.8371147825877768	0.8590539970062456	0.13801620246735288	0.10908263246294767	0.20983644685088645	0.18252026357106604
