embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	bert_base_uncased	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.43241606846052966	0.36452167254453116	0.2507772313802418	0.19994036706113183	0.9311478955104058	0.9185792349726776	0.9270861479657275	0.9114754098360656	0.4195132739288623	0.4178993546967785	0.6511876630832392	0.6564953987326012	0.423710754349987	0.4173341207307757	0.5027560627310883	0.5311904131892041
delta	0	bert_base_uncased	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.43087222161283323	0.362875670579296	0.25063599396511616	0.19917170086974326	0.9290614681016304	0.9174515235457064	0.9248766372980223	0.9102493074792244	0.4169638164750782	0.416711736757624	0.6484282035321723	0.6553076642514952	0.4062474438757442	0.4092639561979609	0.48768806463203035	0.5246972056156474
delta	0	bert_base_uncased	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.48336301443451213	0.48336301443451213	0.255438066079389	0.255438066079389	1.0	1.0	1.0	1.0	0.5036453699037372	0.5036453699037372	0.742249828268442	0.742249828268442	1.0	1.0	1.0	1.0
delta	0	bert_base_uncased	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	0.002744285221886326	-0.026810876922198315	0.013205921017804616	-0.0010384442353411731	0.5186126393220745	0.48723773887478283	0.5210622423574176	0.48389683282106105	0.8357840339585604	0.8718561739310919	0.8891552336574046	0.9072534797525992	0.138727522976234	0.10521560628748336	0.20464860558202694	0.1683779778865441
delta	0	bert_base_uncased	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	0.01036247895576335	-0.02424077258268346	0.018879748092739183	0.0023174072479966606	0.5435898424035799	0.5176128590971272	0.5520596672067685	0.5222298221614227	0.808888448008736	0.8381260865269063	0.8740892091371318	0.8885340583336392	0.15446574689267054	0.12151195525489761	0.22754646234535608	0.19628788475656558
delta	0	bert_base_uncased	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.0404254792700835	-0.03600351923258537	-0.018945765740157928	-0.013041514250362377	0.37707515519354357	0.3785932721712538	0.34541016821109616	0.3467889908256881	0.9881923543408975	0.9925005477168273	0.9745293726056161	0.9742083277391905	0.04954425411642701	0.04692750306947816	0.07489408392316148	0.06855098377285263
delta	0	bert_base_uncased	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.21500764700992947	-0.21594759414471196	-0.11535921920650559	-0.11677524951884846	0.4116923027157847	0.40726440726440727	0.3862062679693022	0.3803088803088803	0.8779027678277173	0.8788961909593522	0.9083880386188438	0.9094240822598932	0.13403838839845614	0.13261672785063736	0.20470005633324176	0.2037878448142118
delta	0	bert_base_uncased	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.2311873754109134	-0.23263026184808205	-0.1268470559296651	-0.12891277355366484	0.41883635077085957	0.41457023060796644	0.3948151100032107	0.3889762403913347	0.8630204056717939	0.8635662922620618	0.8988355355554357	0.8996960651184971	0.14046531179409733	0.13863818290699012	0.21949346836108158	0.21866722963092086
delta	0	bert_base_uncased	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.13784278848215986	-0.14069811429121282	-0.06057107483451382	-0.06202726876605974	0.37762068891465883	0.3743104806934594	0.34514871365373884	0.3412135539795114	0.9488801873405825	0.9480438191258541	0.9539461301520208	0.9533036489402342	0.10338690758847503	0.10545612206453554	0.13414686050815952	0.13667232181118358
delta	1	bert_base_uncased	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.4254234910734854	0.34282930211480905	0.24675888052976133	0.19004047091555604	0.9297315775472715	0.912568306010929	0.921502409685272	0.9065573770491804	0.42452166691060905	0.4350571660893795	0.6578884024850249	0.67159543776379	0.3532807801920141	0.4095226687183292	0.4271067805093231	0.5139729885795306
