embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	kanishka_GlossBERT	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.44438941815602206	0.37441572459695494	0.264098099976171	0.21620066639877758	0.9283833573445514	0.9136612021857924	0.9305044141885308	0.9158469945355191	0.40398216750875154	0.4096803942743632	0.637277952870371	0.6418105837844682	0.3516194316806525	0.42637637895646735	0.4100573500362592	0.5119984217236548
delta	0	kanishka_GlossBERT	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.44364180390044144	0.3731048525194864	0.2649137980652485	0.2159100930381428	0.9262131560519621	0.9124653739612189	0.9283984873457589	0.9146814404432133	0.399972938274707	0.4079268438871353	0.6331269495176898	0.63997608960546	0.3652621886799381	0.433647402893479	0.4195440779809311	0.5177463870125962
delta	0	kanishka_GlossBERT	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.4690606885901829	0.4690606885901829	0.23718006303661138	0.23718006303661138	1.0	1.0	1.0	1.0	0.5362867322322218	0.5362867322322218	0.7742610635088523	0.7742610635088522	-0.09859154929577464	-0.09859154929577464	0.09699532786208806	0.09699532786208806
delta	0	kanishka_GlossBERT	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	0.006982074445447391	-0.02424138106249096	0.014147484596215296	-0.0014248718234061318	0.523629743099045	0.49405318722437525	0.5278528579788333	0.4892422825070159	0.829674704974272	0.8703319077367092	0.8880439174436447	0.9084881416432152	0.13542113502663822	0.11362195196658853	0.20293676532059346	0.175498133529569
delta	0	kanishka_GlossBERT	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	0.01475892870278722	-0.02162177881666483	0.020147619944370816	0.0016916039299312371	0.5459744642427556	0.5200068399452804	0.5507697318656303	0.5136798905608755	0.801539604304048	0.8360156654476631	0.8734115033543831	0.8911028819522159	0.15291181769418352	0.13526927973813926	0.22987639415086036	0.2108936065720549
delta	0	kanishka_GlossBERT	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.037086766346144974	-0.033611065425543686	-0.019853282376665983	-0.01257175268304953	0.39700965661801774	0.40122324159021405	0.39799057262031706	0.4018348623853211	0.9891069421055418	0.9930728159363059	0.9709609306161275	0.97067101544931	0.03630726657721489	0.036194690310301876	0.050278868615747895	0.048897077656506374
delta	0	kanishka_GlossBERT	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.20658157204085678	-0.20697552564716348	-0.11587954891016966	-0.11657509430279994	0.4191068369814822	0.4140569140569141	0.3868446195218691	0.38095238095238093	0.8781318860193985	0.8794629151611261	0.9101663117685558	0.9103635195254615	0.1362158710245522	0.1365408036062028	0.21060493594218438	0.21062161209123662
delta	0	kanishka_GlossBERT	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.22468700950265413	-0.22569418265598212	-0.12726680147722533	-0.12855244662642923	0.42537646455879397	0.4202480782669462	0.3881387764744428	0.38172606568832984	0.864000551677061	0.8650338347152895	0.9022624681185576	0.9023450328391713	0.1480564215462333	0.14879282005443492	0.2279988974984396	0.22849218393373288
delta	0	kanishka_GlossBERT	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.12023256260766936	-0.12254243445844966	-0.06157111359036555	-0.06254959020472735	0.38920553622814935	0.38613081166272656	0.38067248636344114	0.37746256895193064	0.9455274805751616	0.9445472780231966	0.9478615660993172	0.946532012663621	0.07974555315191939	0.08127638898864503	0.127649119289275	0.13001392633359368
delta	1	kanishka_GlossBERT	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.44185064016200243	0.36189625333645	0.2657522500707033	0.20698890806897027	0.9335972680123605	0.914207650273224	0.9379097083178074	0.9191256830601093	0.40837551694770935	0.41998526805424585	0.63851154391892	0.655092253817322	0.5088290392266036	0.45668172378016897	0.5574854184463809	0.5487773964585484
