embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.42333769932761334	0.307406858533091	0.26376932337707126	0.19414876576028484	0.8812817727581295	0.8287323943661972	0.8832034133964581	0.824225352112676	0.3644499353375239	0.3591771666496476	0.6093487598286496	0.6015717717636937	0.4913674697075088	0.4560658518229145	0.5495580401491191	0.5427736562570241
delta	0	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.42190882222992226	0.3051179152356205	0.26515869106275475	0.1937694777694192	0.8774521525245206	0.8262857142857143	0.8794357815705375	0.8217142857142857	0.35893431783965546	0.3566592107764791	0.603579818002239	0.598905854839641	0.510201438057201	0.46390230040799824	0.5676884602168499	0.5507059225171321
delta	0	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.46763288935603625	0.46763288935603625	0.22069892512088177	0.22069892512088177	1.0	1.0	1.0	1.0	0.5354340777714452	0.5354340777714452	0.7881859564473734	0.7881859564473734	-0.09248554913294797	-0.09248554913294797	-0.012484981950537592	-0.012484981950537592
delta	0	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.04044050985852263	-0.07394093809130636	-0.018083173510037152	-0.03589402355438663	0.4708895529968772	0.43624982990883115	0.47210670474904093	0.4347530276228058	0.8217444847037056	0.8600288826621425	0.8814639514403002	0.9003402538722803	0.12080356643308152	0.08576517689970857	0.1728851937121983	0.1369984984121618
delta	0	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.04045956713135779	-0.08472318240789753	-0.016111822927827354	-0.04016059515165032	0.49314983040930643	0.4600174978127734	0.49628620597566814	0.4603674540682415	0.7908936728461232	0.8219294526687172	0.8648737327521773	0.8805373247917777	0.14063193847524003	0.10736272791061174	0.20093743867746244	0.17198885123005347
delta	0	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.040336753595308965	-0.036229477706166496	-0.02881608223540164	-0.020971467447677947	0.3496947093069845	0.35312117503059975	0.3404627536262924	0.34516523867809057	0.9897100159283195	0.9932836209806402	0.9717884754089682	0.9696020284714681	0.012849096425774066	0.010226618743459065	0.020156304456871235	0.01461791924799348
delta	0	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.2802065892078486	-0.2799267613564427	-0.17134584299250022	-0.17133153167323453	0.3313343410469455	0.3279391118007833	0.3056351536747514	0.3021502992684549	0.8634325337994132	0.8653035355533383	0.9063409578341274	0.9076650837716731	0.06578654923640033	0.06560427365149032	0.11066198747697083	0.10982791566207348
delta	0	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.30716367163705594	-0.30886669968363284	-0.18893973986897464	-0.19026442786262462	0.3309197590761407	0.3267211201866978	0.30191990060008117	0.29737007449959607	0.848513290199451	0.8496667713288404	0.8987405203328975	0.899781763615211	0.07188598690445122	0.07211732038498744	0.12079072480030854	0.12053688654566193
delta	0	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.14542117706181207	-0.14513585295208392	-0.08337635861012789	-0.08314950974765148	0.3334072509009695	0.33361204013377926	0.3242114190481024	0.32441471571906355	0.9380287517992246	0.9381334645772236	0.9443431453402756	0.9443825042830212	0.03528936089614587	0.03526905055036529	0.06001830086028229	0.05994971975318598
delta	1	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.4239639974344885	0.30245053215758805	0.2722463774560067	0.20117651488270696	0.8915636132891067	0.836056338028169	0.888319112660194	0.8292957746478873	0.3502989596888677	0.33611461046548463	0.5964029876837693	0.5821209600560093	0.5229588901672553	0.49125731694416896	0.5701518151040883	0.5732426222617203
delta	1	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.4245618077555199	0.30097937008151765	0.2750364825859115	0.20139684911776057	0.8880656653306906	0.8337142857142857	0.8847165033911681	0.8268571428571428	0.3425016806217695	0.33245889617543567	0.5892459017589459	0.5787473644660481	0.5075704672694248	0.48398956432908563	0.5562857446235749	0.5671460882940307
delta	1	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.40543187748251724	0.40543187748251724	0.18575311842895745	0.18575311842895745	1.0	1.0	1.0	1.0	0.592014610768912	0.592014610768912	0.8182726513532966	0.8182726513532966	1.0	1.0	1.0	1.0
delta	1	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.04089942781976931	-0.07398951746074207	-0.015430978554688321	-0.03466210005774733	0.4837107286768468	0.4490406858075929	0.48125563600629784	0.4422370390529324	0.8166435515804559	0.8545011526926365	0.873755267730527	0.8925983810324213	0.11710713782924917	0.08869177690407001	0.16729523992599032	0.13991388642221575
delta	1	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.04123918608481766	-0.0853966312779732	-0.012620537485542547	-0.03815836098916034	0.5060815900621612	0.4722659667541557	0.5059068527013006	0.468416447944007	0.7843720685179121	0.8142310482632292	0.8561332262821619	0.8711867073764255	0.13713824649817424	0.11275330200005335	0.19546771813377778	0.17753820135730503
delta	1	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.03904963282117277	-0.03409254349166256	-0.030732268820037528	-0.02243374557609168	0.36191381669013495	0.3678090575275398	0.3470434562223934	0.3506731946144431	0.9923438482543046	0.995347937768563	0.9696974933938487	0.9674868234706192	0.008048879520656992	0.004535341210346181	0.013911747461369658	0.00832088773553569
delta	1	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.27387263307311277	-0.2739128456469606	-0.16746927294891792	-0.16811478667425944	0.32933997109622	0.3258700953225449	0.3086871958912749	0.3040715288553905	0.860665803357527	0.8618500201009868	0.9006896094969351	0.9014893939942704	0.06534940513028668	0.06533879066488925	0.10822107996156276	0.10747960690893762
delta	1	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.30018573364765844	-0.30222937327294086	-0.18366994029882167	-0.1856988281705582	0.32753617623538334	0.32313077820662417	0.30627039586001426	0.3004218651826586	0.8459068315460158	0.8462362314340276	0.8926569710005448	0.893031614202638	0.07345100186252772	0.07403483597186222	0.12022987152082959	0.12022365462162217
delta	1	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.14230713020038482	-0.14202554034551984	-0.08646593619939925	-0.08621520209638957	0.33835894540040273	0.338628762541806	0.3207711960475779	0.3210702341137124	0.9344606624150823	0.9345729379682923	0.9408528019788855	0.9408824226976885	0.024841421469081405	0.02483601442534676	0.048177122165228646	0.04812281946453188
delta	2	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.42020299353221796	0.305410325405996	0.2621863257271039	0.1948637048139702	0.8975418469818637	0.847887323943662	0.8874531191775944	0.8371830985915493	0.35970660979336666	0.34881458247141617	0.6090180830385876	0.59871496736728	0.39399943478976607	0.42194224019480037	0.4599729769201048	0.5080052673163632
delta	2	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.4222407447645864	0.30467286283567024	0.2651664676933442	0.19522173024311754	0.8942367452716012	0.8457142857142858	0.8838225746349361	0.8348571428571429	0.3504614746814194	0.34456470796009747	0.6017914491577349	0.5953674135675979	0.4085012086718732	0.4287636372769483	0.4760202637090681	0.515798098471422
delta	2	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.35703270532879694	0.35703270532879694	0.1698019247736554	0.1698019247736554	1.0	1.0	1.0	1.0	0.6463057982637326	0.6463057982637327	0.8330437333450282	0.8330437333450282	-0.05555555555555555	-0.05555555555555555	-0.03749291353775813	-0.03749291353775813
delta	2	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.04255669007297927	-0.07491762248572122	-0.01986630845826499	-0.03752927305582958	0.48034368563360713	0.4455027894951694	0.48805450444160914	0.4518982174445503	0.819901025896532	0.8569435566079066	0.8800807412778243	0.8976484688880263	0.10365165276258144	0.08493579460329054	0.15441172783319035	0.13300269437548043
delta	2	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.04390483592380496	-0.08733975202768546	-0.018225213330309475	-0.04235344269871681	0.5026920240517184	0.4694663167104112	0.5102014301969756	0.4747156605424322	0.7877770281832784	0.8168519372486086	0.8631252367083643	0.8769898879609456	0.12107202097502448	0.10742312222315746	0.18104735703127456	0.16954799857475575
delta	2	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.03521678488515051	-0.03147057821869202	-0.028801159710467268	-0.020656488778534272	0.35866939869055714	0.3616891064871481	0.3674767975512804	0.37209302325581395	0.9947983467798015	0.9971660808664061	0.9723940439337733	0.9699029303312738	0.008807425828169409	0.0062851964713813565	0.009395524421398323	0.005183591866999168
delta	2	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.2731632277469107	-0.2723476129002717	-0.16636095072755663	-0.166957155319899	0.33485846598400176	0.3316337840833518	0.30996085282247116	0.3054016108771152	0.8641786597449685	0.8659245146334987	0.9048237370430796	0.9060118718801755	0.061433349708007165	0.06068659184394624	0.10484694164959359	0.10366123669747292
delta	2	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.3022640642628413	-0.30346139257732757	-0.18298912676514817	-0.18498373697987774	0.3358233448058973	0.3319271160578045	0.30594536303131503	0.3000628309846513	0.8475943949974668	0.848476369016264	0.8954342699249088	0.8961800744643366	0.06731917808315938	0.0668489877922958	0.11583504647621107	0.11521253111320222
delta	2	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.12765904516725776	-0.12743180212181043	-0.08322007053959928	-0.08299639182749774	0.3300340718745241	0.3302675585284281	0.33003830177825155	0.3302675585284281	0.9470999834824775	0.947191149383337	0.9517710726339351	0.9518045370180774	0.03200420783224619	0.031984562888861645	0.049906417516506124	0.04985982738073373
delta	3	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.41164767257164103	0.295253002113332	0.2550612879040931	0.18648292505528724	0.8836248514995046	0.8332394366197183	0.8809084891096599	0.8270422535211268	0.3754723995729332	0.36928424116465475	0.6219266282821112	0.6125638580816842	0.4663536425168852	0.4654572542868386	0.5338281152263782	0.5544543843356414
delta	3	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.41233448426153074	0.2938943805694501	0.2573574714095882	0.18652011542416644	0.8798708144511016	0.8308571428571428	0.8770668274680358	0.8245714285714286	0.36799357796746607	0.3658837893335438	0.6155765049726124	0.6096179067560428	0.48438071321526693	0.47342786576426404	0.5514511183611174	0.5625535181397296
delta	3	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.39035651018506057	0.39035651018506057	0.18387959923374403	0.18387959923374403	1.0	1.0	1.0	1.0	0.6073158693424127	0.6073158693424127	0.8187804508765779	0.8187804508765779	-0.09248554913294797	-0.09248554913294797	-0.012484981950537592	-0.012484981950537592
delta	3	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.041192785490389856	-0.07186641541988036	-0.018373217124606746	-0.03488712695516624	0.48057878010976746	0.44863246700231324	0.4845871946093019	0.45067356102871137	0.826336304778189	0.8620395703400444	0.884834736550382	0.9017799627435341	0.11398976190874942	0.09169635154810984	0.1698489829689197	0.1439268673348583
delta	3	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.04206220020570127	-0.08327672404057428	-0.0167064843927526	-0.039341791923494886	0.49892155811406697	0.4663167104111986	0.5042438843074433	0.4701662292213473	0.7960656331074362	0.8242783289819859	0.8682150221351557	0.881493033973794	0.13059764835863683	0.11166246942389386	0.1958830658744474	0.17823438728966073
delta	3	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.03645930537369438	-0.031958267459497404	-0.027447650886923795	-0.019306704498619005	0.38071254430858104	0.386780905752754	0.3775674395860873	0.3824969400244798	0.9911432949856204	0.9941114763139149	0.9753198483666154	0.9727345514332925	0.02356904679269577	0.02186381564841243	0.02810786492771319	0.02393453163002604
delta	3	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.26378321610078387	-0.2633034868721228	-0.16154158570890262	-0.1619085451308022	0.3271470951836819	0.32476169363777435	0.30887840271579836	0.30651001256188576	0.8665090119363725	0.8684985707074667	0.9087482675917313	0.9098508233783406	0.061987996456107024	0.061145785606585325	0.10784522214932582	0.10643591015498459
delta	3	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.2905268391487195	-0.29196860344770753	-0.17790859424409194	-0.1796058126220066	0.32331217907668625	0.3200789875235616	0.30389975606744496	0.30060138228166233	0.8527285606421036	0.854109062686457	0.9012353568938851	0.902012804664146	0.06904144741808958	0.06853581861334604	0.11928201554534114	0.11841961970825586
delta	3	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.13006510086110587	-0.1297925906477963	-0.07970654303295609	-0.07948159817448607	0.3463216757186607	0.34657190635451507	0.3337716359575656	0.3340301003344482	0.9354112684077188	0.9355192683922773	0.9463128210809609	0.9463572474982582	0.02672074164619422	0.026725903613140114	0.050661255169249214	0.050620480333498225
delta	4	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.4293912035625816	0.3063406736078803	0.2726900257107584	0.2006549999460142	0.8982838147237607	0.8501408450704225	0.8821925050337469	0.828169014084507	0.34818512661261114	0.3444248439307418	0.5980118892590985	0.5928804296398676	0.4482813665555902	0.4498117517564373	0.4992257421878602	0.5244536791093892
delta	4	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.43120899019078973	0.305387828686734	0.2760830767189791	0.20112856502444412	0.8950026474567854	0.848	0.8783922632606419	0.8257142857142857	0.33936654040181213	0.34046575171336124	0.5902608713080795	0.5893745294098558	0.4645341704946594	0.45703128471803717	0.5165392472112672	0.5324814875757771
delta	4	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.3730398180881283	0.3730398180881283	0.16750544445591864	0.16750544445591864	1.0	1.0	1.0	1.0	0.6215612991473778	0.6215612991473778	0.8382934457406869	0.8382934457406869	-0.05555555555555555	-0.05555555555555555	-0.03749291353775813	-0.03749291353775813
delta	4	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.046454053208379864	-0.0812771088446523	-0.019193929991539307	-0.037848536327950065	0.4788110095323419	0.44495849775479657	0.4796663857078464	0.44482242481970335	0.8186333402511242	0.8566554380166322	0.8757187176912303	0.8933146214831231	0.10206243515961741	0.08574617258278754	0.1530340207195911	0.13290125298557762
delta	4	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.048618186608498704	-0.09575603363762117	-0.018286933962123934	-0.044139844018322966	0.5010885592240627	0.468416447944007	0.5024627988745115	0.468416447944007	0.7868638738481575	0.8171500028927933	0.8592097641348624	0.8733381062620926	0.12041358190492862	0.1100161861864287	0.1795817848773898	0.16934355283684244
delta	4	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.03467154914106629	-0.030636316193601413	-0.024132019485022978	-0.01584436040966298	0.35752212787741794	0.3629130966952264	0.355552580689336	0.3623011015911873	0.9916004351117209	0.9948277524185538	0.9656007981647894	0.9631835226386869	0.0021506362129229493	0.0008605374880450116	0.008496193638242756	0.005442413542506359
delta	4	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.27891909947351734	-0.2785587632716152	-0.17163290722232738	-0.17208189477926186	0.3283951343657884	0.3246139067464716	0.3039539547744161	0.3004507500184734	0.8620708599819501	0.8639031348914626	0.9029422946879482	0.9041524723713289	0.06516055262881415	0.06366416982801652	0.11004973395882162	0.10883753830891654
delta	4	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.3083842396086681	-0.31017366075764213	-0.1901287469250529	-0.19208051974874527	0.32866158065928	0.32402836370164256	0.2989146355826063	0.2942285252670317	0.8467343209763183	0.8478099040572405	0.8954217793113556	0.8963294840085116	0.07250503889257373	0.07123030181536784	0.12214420327149926	0.12157273530512036
delta	4	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.1315933987977635	-0.13130894182854405	-0.0791537087086998	-0.07893612522030942	0.32706290289833	0.3273411371237458	0.32915055073346533	0.3294314381270903	0.9387535550101093	0.938859106766072	0.9405448715709115	0.9405888909959731	0.02843812131001618	0.028424087691276866	0.04957738739543351	0.04952197403855409
delta	5	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.44453252307772106	0.32063256525660516	0.27812112072205264	0.20169944903138362	0.8935353266331183	0.8416901408450704	0.8874048612544865	0.8343661971830986	0.32720799171436565	0.32087464758593903	0.5837796855725904	0.575149599952407	0.46066834596761846	0.434489847377015	0.5218913505411457	0.5296316636174225
delta	5	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.4426506068378153	0.31802914581005953	0.27950498491057024	0.2012205650050032	0.8901009823309608	0.8394285714285714	0.8837727600046311	0.832	0.3215683979496057	0.31828663685971065	0.5774090397529262	0.5722050270091245	0.4773207298877208	0.44149049599033746	0.5399360042211103	0.537733443291068
delta	5	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.5028719265148015	0.5028719265148015	0.23522133087800984	0.23522133087800984	1.0	1.0	1.0	1.0	0.5020353984219237	0.5020353984219237	0.7812697059821819	0.7812697059821819	-0.05555555555555555	-0.05555555555555555	-0.03749291353775813	-0.03749291353775813
delta	5	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.046000822433441765	-0.07939168999207104	-0.019898932486189458	-0.038438389907989014	0.47372342967180414	0.4415566743774663	0.4816076676979289	0.4472717376513811	0.8121435362198564	0.8518370947455863	0.8739753444028203	0.8933822703229992	0.09570605919980782	0.07648704913377473	0.15541096279042038	0.1321220496680425
delta	5	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.046627608050366184	-0.09147024180704257	-0.018302701480337368	-0.04349828361225647	0.49296879711200153	0.4603674540682415	0.5036218159699275	0.4696412948381452	0.7791026227733582	0.8107618355366872	0.8555391722568588	0.8709623195579008	0.11073085643974395	0.09509453901130124	0.18119205485261128	0.16678215825656467
delta	5	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.04258832296351989	-0.03714632669796934	-0.028589523518050823	-0.020741148463748745	0.36894309583072943	0.37576499388004897	0.3617528604392699	0.3690330477356181	0.9920329538730122	0.9954999505466017	0.9743500594197211	0.9717972144004399	0.013904385337933364	0.011406385333245882	0.015047239340714669	0.010896516875261414
delta	5	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.2888003380573309	-0.28848248280239136	-0.17254657207121304	-0.17309012227381196	0.33286679800571356	0.3286041528116456	0.30365259890026575	0.3000073893445651	0.8560646846285658	0.8578360226854937	0.8993041274688408	0.9006849435939417	0.05897570246465552	0.058705750366010834	0.10575655233545064	0.1045692771249496
delta	5	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.31689947685456504	-0.3186374394417605	-0.1894748555386275	-0.19142752010134248	0.33119090206991225	0.3258235346916794	0.2975479664883828	0.29261287137599856	0.841513873293198	0.8425701284576324	0.8912852288079314	0.8923616789128374	0.06620726165236575	0.06641286636036592	0.1171693657925374	0.11657864052496021
delta	5	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.14830464407116012	-0.14803249454185133	-0.08790515473414097	-0.08768169869667272	0.3412462776847199	0.3415551839464883	0.33417576095968055	0.33444816053511706	0.9288187413054044	0.928938584388088	0.9393986207733875	0.939451453548868	0.022817906526104343	0.02280901989230265	0.04869248505001692	0.04863436172381325
delta	6	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.41902599423663434	0.30244411100147106	0.26684456725233036	0.19946806205440074	0.8851636336272317	0.8332394366197183	0.8760680830108103	0.8225352112676056	0.34831015389615705	0.3334589617689489	0.5978649523365944	0.5829117181434146	0.46335541232516514	0.47532763641707826	0.523241525349317	0.5560650653666424
delta	6	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.418690164358867	0.3006299308665288	0.26758241660998106	0.19883230240996136	0.8814592347119813	0.8308571428571428	0.8720702792369653	0.82	0.340896247435191	0.3299635004487038	0.5930596580249943	0.5805700416026607	0.4812857659205882	0.4834392533535073	0.5405230255847964	0.5641872088997448
delta	6	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.4294367204474235	0.4294367204474235	0.24397123716515692	0.24397123716515692	1.0	1.0	1.0	1.0	0.5781412541861053	0.5781412541861053	0.7468290759961985	0.7468290759961985	-0.09248554913294797	-0.09248554913294797	-0.012484981950537592	-0.012484981950537592
delta	6	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.047888166939355895	-0.07938749708304521	-0.021213840607915823	-0.03791507789512951	0.46860519449582727	0.43624982990883115	0.47808826287895084	0.44495849775479657	0.8168941061392669	0.8539036479614726	0.8762202251086239	0.8935089399163894	0.12053696517817815	0.09352362080394319	0.17080846720123147	0.14016085852663593
delta	6	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.04891010256565871	-0.0917600159584657	-0.0202784664766647	-0.04357614081340315	0.4896893418760804	0.45861767279090115	0.49764527585428436	0.46491688538932635	0.7847215542805789	0.8134693464089562	0.8593149532123316	0.8727331726684374	0.1397170535986392	0.11639418002378532	0.19911237607970267	0.17687493818525085
delta	6	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.04232429519615171	-0.03611396870297912	-0.026306433100283057	-0.018115215852330353	0.353813725425561	0.3580171358629131	0.37161119223546857	0.37515299877600977	0.9920557773699028	0.9953247210169385	0.9682600387662155	0.9661732666128674	0.016112039333445922	0.013532650215572508	0.01670940775177712	0.011751455069485333
delta	6	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.2797040160676454	-0.2796021162683534	-0.1676947803065807	-0.16837845268346346	0.32647471680327567	0.32372718539865514	0.30514083248148266	0.3021502992684549	0.8604471754096706	0.8622413687465502	0.901445636676002	0.9028380692878687	0.061693526861758885	0.061155392428225125	0.10618053257620784	0.10521993134113164
delta	6	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.306917022154539	-0.30886280185297726	-0.18434376023703763	-0.18644892401533858	0.32709660634263565	0.3237590880531371	0.30242053866273594	0.29853693564312	0.844598434852049	0.8455903658671287	0.893292266113999	0.894374100955887	0.06923431833289188	0.06914450903359878	0.11720827925967593	0.11687245670801115
delta	6	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.14363898563317765	-0.14331729264866522	-0.08444988065429582	-0.08421326827358842	0.3233652691064751	0.32357859531772576	0.31874230157521616	0.3189799331103679	0.9396908781977791	0.9397952245490738	0.9422124894860167	0.9422599217906314	0.023989569506093805	0.02394521345645755	0.051041799158867446	0.050947027866046095
delta	7	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.41878667536055414	0.2957221403665373	0.26037458177144374	0.18989657354691317	0.8835399200528529	0.8287323943661972	0.8811835518169834	0.8202816901408451	0.3575587184782573	0.3467413401040497	0.6075314016132927	0.5914974979247403	0.4430263599836325	0.4231604166509232	0.5073501820410914	0.5140068975399473
delta	7	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.4175227070250479	0.29340431817518436	0.2615502679157493	0.18941040586475522	0.8797831432803641	0.8262857142857143	0.8773507631659183	0.8177142857142857	0.3514367426341682	0.3438756453963214	0.6018032377165603	0.5887316838606366	0.4610192779947385	0.4308449097225172	0.5233771944438713	0.5211996703968763
