model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	begin__ppt	begin	ppt	199	197	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	raw	raw_label	199	4.0	1.2158606829788767	140.0	2.0	0.0	0.25	-0.4466633200645447	-0.4466632902622223	0.41019889902321016	0.41438767003679317	0.9898916610785956	398.5293288002345	402.59895575060705	0.9898916107648985	0.39195979899497485	0.39195979899497485	0.005079155269164632	0.007553651294399215	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	begin__ppt	begin	ppt	199	197	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-exclude	conditioned_exclude_label	197	3.0	1.1462547454696266	140.0	22.0	0.0	0.0	-0.08784902095794678	-0.08784901350736618	0.4102377583353571	0.4143003362928118	0.9901941234375841	398.5670826206968	402.5141038299951	0.9901940797310164	0.45685279187817257	0.45685279187817257	0.004907809619637246	0.0029516381136216914	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	begin__ppt	begin	ppt	199	197	2	0	4	3	2	began,begun	began	begun	0.1741	fisher_exact	False	4	3	0	0	3	0	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	raw	raw_label	171	7.0	2.005959814418014	82.0	1.0	0.2857142857142857	0.2857142857142857	-0.8362573385238647	-0.8362573385238647	0.3589237850823721	0.5914150249729887	0.6068898657060073	257.63715881938754	424.52044738570777	0.6068898692771456	0.0	0.0	0.19297600441298152	0.26375214818117815	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-exclude	conditioned_exclude_label	78	4.0	1.5571643471379213	40.0	1.0	0.25	0.25	0.25641027092933655	0.25641027092933655	0.09337588201595258	0.7077271647998767	0.13193768257059396	67.0256418292739	508.0098400580489	0.1319376841629978	0.5128205128205128	0.5128205128205128	0.5439184396892679	0.536929926250006	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__ppt	bid	ppt	171	160	11	0	7	4	2	bid,bidden	bid	bidden	0.0	fisher_exact	True	7	1	1	2	1	1	2		0	conditioned-cat-only	cat_only_label	58	3.0	0.9896363038042916	40.0	1.0	0.3333333333333333	0.3333333333333333	0.6896551847457886	0.6896551847457886	0.0	1.0089156359151066	0.0	8.009741553723076e-07	724.2043203203345	1.1060057678446543e-09	0.6896551724137931	0.6896551724137931	0.9791402681679201	0.9473890661986553	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	raw	raw_label	200	10.0	2.1208109300257063	92.0	1.0	0.2	0.3	-0.7799999713897705	-0.7799999713897705	0.38100465209091744	0.4971176765004	0.766427488101222	310.303109643531	404.8694944544438	0.7664274881012221	0.065	0.025	0.10865735020133725	0.17000201552139813	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-exclude	conditioned_exclude_label	76	2.0	0.7424875695421236	60.0	16.0	0.0	0.0	-0.06712755560874939	-0.06712755560874939	0.4325058536870139	0.4128464967012405	1.0476190476190477	352.2474347795759	336.23618774414064	1.0476190476190474	0.5657894736842105	0.5657894736842105	-0.01960472873318055	0.17458560403798593	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	bid__pst	bid	pst	200	168	32	0	10	3	2	bade,bid	bade	bid	0.0	fisher_exact	True	10	1	1	1	1	1	1		0	conditioned-cat-only	cat_only_label	16	1.0	-0.0	16.0	16.0	0.0	0.0													0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	break__ppt	break	ppt	198	126	72	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	raw	raw_label	198	28.0	3.9537957327683686	26.0	1.0	0.42857142857142855	0.4642857142857143	-0.8888884782791138	-0.8888888955116272	0.26811011071298635	0.305621654911192	0.8772614976870478	329.9192230822993	376.0785651302746	0.8772614386252362	0.015151515151515152	0.015151515151515152	0.018084302199731016	0.03597948338470314	0.0
