embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	answerdotai_ModernBERT-base	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.575769932831035	0.389557286258278	0.5787207516853634	0.39125682804254874	0.781700094982759	0.6961748633879782	0.6826067345360196	0.5027322404371585	1.4797281369658018e-07	1.5511263016176085e-07	1.9091832397111825e-08	1.920808134687213e-08	0.8052558342792373	0.7427967978066081	0.8360413354259238	0.774857893138091
delta	0	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.5629144762501572	0.3811024010263982	0.5659547138576472	0.3828254821705619	0.7750849463458728	0.69196675900277	0.6729887567946868	0.49584487534626037	1.5245683835405228e-07	1.5726100454073258e-07	1.967037277278188e-08	1.9474121254723545e-08	0.7993544959240626	0.739234426585093	0.8310728910448913	0.7717395814087018
delta	0	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
delta	0	answerdotai_ModernBERT-base	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	-0.13895570713975758	-0.1770857864599111	-0.13895573642262174	-0.17708581142839747	0.4127402377611505	0.40545235867967394	0.35032393053377836	0.326740612053989	0.6954421203474621	0.7700412522178066	0.695442076447619	0.7700412212687826	0.17719127633218887	0.13693623950824726	0.2265614605472826	0.17864328554330777
delta	0	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	-0.1430981136268112	-0.20067830978617884	-0.14309814842420296	-0.20067834224440223	0.4296728489249607	0.43091655266757867	0.3585027429771313	0.3317373461012312	0.6461441040471524	0.7096700261028165	0.6461440524106566	0.7096699865132665	0.20717257464663305	0.1740730574431024	0.2642856310777511	0.22670320036079844
delta	0	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.11548207037978703	-0.09270103024461218	-0.11548206841366158	-0.09270102842411863	0.3167887744995592	0.3143730886850153	0.3039773266881114	0.308868501529052	0.9747975460492183	0.9859745429336856	0.974797545990405	0.985974542889736	0.007297252550338715	0.004106813647065205	0.012791160874627604	0.006744581046252324
delta	0	answerdotai_ModernBERT-base	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.5760928790147106	-0.5796819391064948	-0.5760930384819706	-0.5796820972811063	0.27334146877971754	0.2703417703417703	0.14050429574625714	0.1372086372086372	0.7768265314784036	0.7801431501676492	0.7768264984404988	0.7801431196258128	0.09554972035988775	0.09470012183362607	0.11391015560142097	0.1125987319077841
delta	0	answerdotai_ModernBERT-base	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.6347868809055898	-0.6413396201070443	-0.6347870728782108	-0.6413398124749435	0.2706116630989676	0.26790705800139764	0.1134755950551682	0.10910202655485675	0.7504618108963563	0.7533683323354509	0.7504617737298636	0.7533682980355402	0.11074915500996738	0.11049578374790646	0.12935195267799454	0.12851140982291548
delta	0	answerdotai_ModernBERT-base	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.2961676392274407	-0.30156644182742065	-0.296167643669133	-0.30156644576847835	0.2863605420263712	0.28132387706855794	0.2694104067345273	0.2639873916469661	0.9025659681004753	0.9009146689001182	0.9025659547527594	0.9009146553095956	0.02306010895181565	0.023451604262829398	0.040264661851608534	0.04082239748208509
delta	1	answerdotai_ModernBERT-base	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.5832206540028838	0.4083867551677458	0.5001989606740501	0.3459941696263646	0.9078568045021073	0.8721311475409836	0.9073444705362629	0.8710382513661202	0.037104169106962064	0.03845211701445065	0.2030927754408667	0.2095871136927533	0.7221692751654532	0.5923683508771815	0.7633572999498671	0.6574771887801553
delta	1	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.5716132597264015	0.4006599143095872	0.4905408444024171	0.3394439947231572	0.9050645864567166	0.8703601108033241	0.9045367272191799	0.8692520775623269	0.037231472816743424	0.03852897255919128	0.20382677507408256	0.21001254757291962	0.713750162291679	0.5867224831607991	0.7561863090392569	0.6527331055222628
delta	1	answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.9662646651268005	0.9662646651268005	0.8189167976379395	0.8189167976379395	1.0	1.0	1.0	1.0	0.032903146684177195	0.032903146684177195	0.17887078754474312	0.17887078754474314	1.0	1.0	1.0	1.0
delta	1	answerdotai_ModernBERT-base	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	-0.1200107313431848	-0.16038662102944348	-0.08717588893293092	-0.11889934774044392	0.4707634169341978	0.43926232794333825	0.45610165195062613	0.41814780168381666	0.7096666738415911	0.7797984926758933	0.7676235368788967	0.820747902237177	0.1515494882802245	0.11132334602429529	0.20365426046279878	0.15964935755734272
delta	1	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	-0.1218893176331881	-0.18056102184289832	-0.08822303213288679	-0.13385247478728843	0.49157489671347326	0.46084131326949385	0.4819311706929799	0.4469904240766074	0.6626148765514902	0.7219454553528598	0.7304185537566463	0.7744957318454432	0.1726614315940982	0.13507368705469436	0.2304528545210867	0.19272848443882065
delta	1	answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.10936540903316604	-0.08822766325752669	-0.08124207746651438	-0.06541562482304529	0.3528316981849699	0.3620795107033639	0.3097343790772881	0.3149847094801223	0.976293525152163	0.9867248304527135	0.9784517745716484	0.9861807416566621	0.03191514283494004	0.026374114008531534	0.051795560799167445	0.04133331229564054
