embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	bert_base_uncased	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.5244817658847964	0.28150888142847746	0.5192657810471514	0.300082555231053	0.7696697520892826	0.6573770491803279	0.7866891186405993	0.6808743169398908	0.007364289221990846	0.007217438926772531	0.06427476614243594	0.06428056691835154	0.713720833879842	0.5984696262092914	0.7541529668184301	0.6570159435138045
delta	0	bert_base_uncased	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.510072891868538	0.271557832578161	0.5048357461099372	0.2904513311487238	0.7626900476071395	0.6526315789473685	0.7802251525387992	0.6764542936288088	0.007586583941625525	0.00731700783886015	0.06606925151110685	0.06510084140508363	0.7050457076337765	0.5929082636914145	0.746703056722019	0.6522654718173196
delta	0	bert_base_uncased	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.9999746084213257	0.9999746084213257	0.9954569339752197	0.9954569339752197	1.0	1.0	1.0	1.0	2.85634740464512e-05	2.85634740464512e-05	0.005056748976295822	0.005056748976295822	1.0	1.0	1.0	1.0
delta	0	bert_base_uncased	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	-0.16250099611303692	-0.2017376592162956	-0.14510174031699233	-0.1807949569647144	0.3945714394813468	0.3721769343846051	0.39765505907896775	0.3703060269945209	0.6981812878493324	0.7719217363588077	0.7193475758433461	0.7866259905421944	0.1278264522999349	0.09295807560111989	0.1785423160829465	0.14078402358410097
delta	0	bert_base_uncased	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	-0.1709558935487853	-0.23242974234011837	-0.15110331512279992	-0.20644406787335476	0.40907913496535825	0.38782489740082077	0.4141864236185306	0.3874829001367989	0.6493657583818768	0.7120716859943648	0.6740183006407326	0.7306183287966808	0.14963836131084599	0.1187548673613249	0.20753769602053204	0.1776920202112634
delta	0	bert_base_uncased	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.11458991064379613	-0.0919594927893137	-0.11109281641741593	-0.08905428381870281	0.3123611650719498	0.3162079510703364	0.3039773266881114	0.308868501529052	0.9748026214982476	0.9859909073259411	0.9762134686581562	0.9869518657029072	0.004225634571438727	0.0006891837273101765	0.014235163103295149	0.008773036259546898
delta	0	bert_base_uncased	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.60683100083222	-0.6099175314023962	-0.5628308284406861	-0.5667610650877597	0.23294617355336603	0.22937222937222937	0.16626643260659382	0.16273416273416275	0.7792346011159027	0.7824748606455401	0.796131398043743	0.799078999214105	0.04328370285228042	0.042481023039607504	0.07275326444455953	0.07208362141756343
delta	0	bert_base_uncased	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.6647951782891347	-0.6705373909375985	-0.6134422582784488	-0.6197921444979515	0.22295646928689947	0.21916491963661774	0.14391001656923247	0.13950034940600978	0.7528594064418386	0.7556587212857248	0.7703042717381317	0.7727266334261694	0.049285750937681214	0.0485970868601003	0.0822650319822205	0.08192068495885528
delta	0	bert_base_uncased	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.33038646219154966	-0.3364832713712708	-0.3214532399836641	-0.32755704732263907	0.2805893785165142	0.27541371158392436	0.27288933986170166	0.26753349093774625	0.9050239910999012	0.9034327658430057	0.9193069235012741	0.9179449895767072	0.014658550444984248	0.014893671338661343	0.027389450034176383	0.027712185869608774
delta	1	bert_base_uncased	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.6230617841733072	0.4577129221027666	0.5329724179498632	0.3813930975965382	0.9164820039721597	0.8863387978142077	0.9172885491517891	0.8879781420765027	0.035164996387679164	0.03814676864591774	0.18960725352450997	0.2019955186460533	0.731877227073301	0.5898851102204522	0.7810952536041863	0.6762284763016416
delta	1	bert_base_uncased	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.6122783595329206	0.45049405956532484	0.5232035804003703	0.37482867987511725	0.9139511556076797	0.884764542936288	0.9147821415503282	0.8864265927977839	0.035594447278868784	0.038384353849068666	0.19097540948104813	0.2027924357054342	0.7237522945603708	0.5842048485891566	0.7744617764406768	0.6717441061673153
delta	1	bert_base_uncased	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.9789147973060608	0.9789147973060608	0.8553440570831299	0.8553440570831299	1.0	1.0	1.0	1.0	0.020993116978421603	0.020993116978421603	0.14445810695875075	0.14445810695875075	1.0	1.0	1.0	1.0
