embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	kanishka_GlossBERT	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.5273746766752618	0.2861241784033269	0.5183005586047383	0.302969490774383	0.7806851022727996	0.6754098360655738	0.7815253314738521	0.6836065573770492	0.009329329534860518	0.009170005683710174	0.072715447902857	0.07303967103320624	0.7075968208987297	0.5861214755671663	0.7471761225837872	0.6459375457247638
delta	0	kanishka_GlossBERT	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.5130536291804729	0.2762371276332442	0.5038560636793122	0.2933850115448897	0.7740391962810664	0.6709141274238227	0.7749048869730597	0.679224376731302	0.009610959181926216	0.009296521674042829	0.07475209299717211	0.07397503822493408	0.6987361185017215	0.5803890860320856	0.7395147929651139	0.6410336336156885
delta	0	kanishka_GlossBERT	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.9999692440032959	0.9999692440032959	0.9949688911437988	0.9949688911437988	1.0	1.0	1.0	1.0	3.555118169244189e-05	3.555118169244189e-05	0.005506159790457745	0.005506159790457745	1.0	1.0	1.0	1.0
delta	0	kanishka_GlossBERT	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	-0.1608244013657289	-0.20006849494975215	-0.1426337533494613	-0.17773921420295455	0.4018685966966326	0.3773887478284111	0.39533308093587577	0.3709742082052653	0.6989112626668756	0.7724220268619901	0.7226078634997067	0.7888830647594017	0.12358670886271872	0.08945027992577742	0.17544644571064277	0.13794041311543298
delta	0	kanishka_GlossBERT	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	-0.16900102870810466	-0.23031644018597913	-0.1482774686894617	-0.2026432718472371	0.41726988835390977	0.39398084815321477	0.4114546846266577	0.38833789329685364	0.6502235710496533	0.7127094460244766	0.6778257315684635	0.7334734688337055	0.14399504808754024	0.11312413429643826	0.20402126075923388	0.17427419779592979
delta	0	kanishka_GlossBERT	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	-0.11449017975893286	-0.09187890244733303	-0.11065269975612561	-0.08866341658597328	0.3145946106387287	0.3180428134556575	0.3039773266881114	0.308868501529052	0.9748081818311349	0.98599950254259	0.9763732777767511	0.9870698029694764	0.00793945325539677	0.004774622213468879	0.013522493768626605	0.007983243200114927
delta	0	kanishka_GlossBERT	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.604053880944848	-0.6071556610587718	-0.557092533459266	-0.5611726701555004	0.2349249488941216	0.2308022308022308	0.16593279415615556	0.16273416273416275	0.7798524659903507	0.7830781188014903	0.7986081464462225	0.8015224881801092	0.04313340911643821	0.04244308473216202	0.07175021412610051	0.07133623901204839
delta	0	kanishka_GlossBERT	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.6616564121758265	-0.6673997347349702	-0.6068783791495427	-0.613366045678818	0.2252690987212306	0.22082459818308875	0.14350642166950878	0.13950034940600978	0.7534620984589119	0.7562395743296206	0.7728688294207402	0.775244644969328	0.049648916503227954	0.04913728370542233	0.08168229015205326	0.08168912700743343
delta	0	kanishka_GlossBERT	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.3293341166124894	-0.3354164351150687	-0.3196523463210234	-0.3257472316247915	0.28097592664175586	0.27580772261623326	0.27288933986170166	0.26753349093774625	0.9057142188325977	0.9041370853554551	0.9213648891831383	0.9200523341521425	0.012059450810210122	0.012247974469796296	0.02438185154078745	0.024638105926481878
delta	1	kanishka_GlossBERT	delta	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.6159418509136337	0.4507970623074028	0.5227505677843617	0.3724453407034082	0.9163756820821269	0.8907103825136612	0.9159106047589899	0.8890710382513661	0.0407143058184936	0.04372312498263788	0.20410926807032467	0.21634868853388328	0.7175006240636292	0.583441098512147	0.7698422930530421	0.6716044868412006
