embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
delta	0	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.5836407793103717	0.3926760396697152	0.5836408024770208	0.3926760599436894	0.7491156176837619	0.6045070422535211	0.6792234100232754	0.5059154929577465	1.6280319574734807e-07	2.0249877914114958e-07	1.614005463006315e-08	1.5445453143387315e-08	0.8126756323622293	0.7475421562307574	0.8394805778199299	0.7767644932563015
delta	0	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.5702098367074805	0.38399998309356825	0.5702098606214407	0.3840000036571707	0.7410225730929154	0.5988571428571429	0.6688757780885424	0.49885714285714283	1.6672822768660346e-07	2.0480408733415983e-07	1.591826140564762e-08	1.5337307551336494e-08	0.8066329108255271	0.7439356156054824	0.8343025319431534	0.7735754145885343
delta	0	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.1127205630431274e-08	4.1127205630431274e-08	2.301564458694474e-08	2.301564458694474e-08	1.0	1.0	1.0	1.0
delta	0	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.12932477254234354	-0.1723771151222013	-0.12932479103130454	-0.17237713425001172	0.37851701854928926	0.3743366444414206	0.3528828724127323	0.32970472173084775	0.698295868574967	0.771612937703474	0.6982958014816497	0.7716128930838428	0.17808261673580056	0.13712781070042632	0.22384866372837206	0.17678567911696216
delta	0	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.13174708642149272	-0.19495269862338432	-0.13174710228129846	-0.19495271398021527	0.3865867707126905	0.38320209973753283	0.3618184351512807	0.33560804899387575	0.6474943796668907	0.7102983795895732	0.6474943000954138	0.7102983221333703	0.209459298752606	0.1751740329453463	0.2626287007249495	0.2254265907810091
delta	0	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.11613661920030911	-0.09341783745435489	-0.1161366520035598	-0.09341786977136222	0.3345817012152157	0.3433292533659731	0.30423369750285784	0.30905752753977966	0.9748817526300491	0.9860637942646384	0.9748817534733782	0.9860637945415851	0.007254014644304401	0.004059169250170641	0.012712906747006175	0.006661560291975239
delta	0	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.5857369712450438	-0.5892783852790545	-0.5857371060022464	-0.589278523410991	0.22417565505406786	0.22323209931279095	0.1373653905535935	0.1347816448681002	0.7755803148481741	0.779343079489573	0.7755802721480585	0.7793430362470808	0.09655270260765753	0.09530868333709655	0.1148221011066406	0.11326663153601078
delta	0	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.6392999251062671	-0.6476595062535457	-0.6393000679090619	-0.6476596536975999	0.2080357805660066	0.20563683690871556	0.11534431862116717	0.1104927744367651	0.7516844526915692	0.7544535673754861	0.75168441031703	0.7544535243519636	0.11090593022678433	0.11045910175955484	0.129195693281302	0.12837874278416708
delta	0	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.3179222019389272	-0.31736196856634274	-0.3179222964681685	-0.31736206332607864	0.30487502749437423	0.30518394648829433	0.24747075021572507	0.24790969899665552	0.8950596256311983	0.8952686875426845	0.8950595813032004	0.8952686432803173	0.02478656451202361	0.024743962749885957	0.0429541402333336	0.04288033077693487
delta	1	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.5852299920516089	0.3893082211019707	0.5781310420425143	0.38722171728197535	0.8566765845745976	0.796056338028169	0.8573661932345487	0.7954929577464789	0.00020721394881552374	0.0001945074799086914	0.01756125352229776	0.01753983765970307	0.7231900615379341	0.5931916446051337	0.7565398580609564	0.6482067328683736
delta	1	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.5718526447251919	0.38058508484384845	0.5647958051713724	0.37858883631389056	0.852053248593133	0.7931428571428571	0.8527651026937277	0.7925714285714286	0.00021159075340417103	0.00019626425809928048	0.017855805694959887	0.017669976252416373	0.714260708684319	0.5873800966709214	0.7486863050951806	0.6431811147664933
delta	1	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.9999277591705322	0.9999277591705322	0.9915233850479126	0.9915233850479126	1.0	1.0	1.0	1.0	7.153300656745767e-05	7.153300656745767e-05	0.00843013616977185	0.00843013616977185	1.0	1.0	1.0	1.0
delta	1	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.12918629320007186	-0.17311318812750523	-0.12526049207039688	-0.16791074640682868	0.4462295035424314	0.4182882024765274	0.434486366342769	0.39991835623894406	0.6983653582360115	0.771661940675965	0.7046482438058855	0.7760111611478786	0.12866197072376	0.0897224112952651	0.17332061250466563	0.13344945577367287
delta	1	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.13158839774895364	-0.19590693004062168	-0.12737430933153446	-0.1898156214834609	0.46356401019109944	0.4348206474190726	0.45819884236845637	0.42554680664916883	0.647576241302255	0.7103612445333574	0.6549618364722685	0.7159291525140196	0.14979699223429052	0.11244738335757551	0.20242008853179994	0.1689350547694337
delta	1	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.11610816843393776	-0.0933908900654119	-0.11375193142642577	-0.09129730634382188	0.35185274512190545	0.36046511627906974	0.3053851079806932	0.310281517747858	0.9748838837642412	0.9860643142714381	0.9751631281778	0.9861511117858863	0.013593520277538332	0.01024063936374494	0.014890131912489576	0.009336727339907147
delta	1	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.5981223126097271	-0.6017567930260818	-0.5716327578734813	-0.57509862116679	0.32548460451635886	0.3231360378334442	0.18267539666067753	0.1779354171285007	0.7756316347240271	0.7793928967396744	0.779767242423943	0.783425013694196	0.044299318734551556	0.043073017220351485	0.07615434868157421	0.07499872106370972
delta	1	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.6514957862440497	-0.6599599867295943	-0.6224852237384766	-0.6305537510904189	0.328516926329906	0.3258235346916794	0.16804170706399388	0.1611165963558029	0.7517419426425015	0.7545096932285088	0.7563252004719908	0.7590009098497134	0.048943270660137025	0.04780026082583375	0.08552343761129144	0.08481962327522416
delta	1	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.33125494443811476	-0.3306690919178734	-0.3173704285485049	-0.3168103258159747	0.3103229954486236	0.31061872909698995	0.25584384464409593	0.25627090301003347	0.8950800951316554	0.8952891217889624	0.896977452183705	0.8971829321437705	0.021079559106624207	0.021055366296991188	0.029308904032988064	0.029256801524210445
delta	2	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.5950723944697529	0.39842927480457535	0.5549952481233049	0.3800996181646913	0.8678243087588647	0.8028169014084507	0.8689919045814261	0.8045070422535211	0.012220803827318678	0.013131366719949508	0.11070085172522637	0.11405940532754329	0.7132479609940909	0.5620423665609992	0.7588278536800168	0.6431097414452563
delta	2	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.5832172057801678	0.3903699323896851	0.5472064729960214	0.374151794466057	0.8635605767833442	0.8	0.8647658369872785	0.8017142857142857	0.011341618140117663	0.012755021099798073	0.10743255498461418	0.11265999610816244	0.7039978952197068	0.555785828940442	0.7510481070245334	0.6380113091801887
delta	2	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.9625832438468933	0.9625832438468933	0.7964472770690918	0.7964472770690918	1.0	1.0	1.0	1.0	0.03947556013055011	0.03947556013055011	0.21201805068420332	0.21201805068420332	1.0	1.0	1.0	1.0
delta	2	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.11966117707799703	-0.16668628622606013	-0.09675339650029541	-0.13918928497077013	0.45969870748585767	0.4317594230507552	0.4403899253440202	0.40250374200571504	0.7030590939912034	0.7747602005964747	0.73698378236698	0.7963569791435156	0.14261549717008018	0.10295806695488371	0.1993708324341034	0.15816439680256011
delta	2	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.12173204333402635	-0.18927206561792917	-0.09909317089952718	-0.15920422209270113	0.47758737519271344	0.4486439195100612	0.46296615118309176	0.4251968503937008	0.6529054187666228	0.7141678846242574	0.6924836292323107	0.741947190200257	0.16279463320616727	0.12431960964864855	0.22785013142936425	0.19245248271145504
delta	2	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.10838646079517072	-0.08769134790015337	-0.08401462477114466	-0.0691860012181167	0.3623048499707535	0.37270501835985315	0.31747491799796435	0.32313341493268055	0.9761179924361423	0.9866849776963661	0.9792623938779573	0.9866580463471398	0.03275131208471717	0.028244960164879932	0.0443168712376834	0.03824003268424034
delta	2	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.5779804050948264	-0.5811897746455135	-0.4615556868828005	-0.4631584961581715	0.32422993688274543	0.3189980048769674	0.2013147755995256	0.19796054090002216	0.779485794515415	0.7831767370758232	0.7992782323059426	0.802316928461075	0.07381255964909592	0.07396536447031936	0.12512090717099245	0.12479003755150495
delta	2	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.6288366747243951	-0.6366039647514026	-0.5024574002561469	-0.5075201848378883	0.32190875000418046	0.3153217843999641	0.18605384868298586	0.18077371869670586	0.7559301957338493	0.7586382511336252	0.77735701489097	0.779400338947208	0.07722999058327423	0.07766980892427565	0.13414287317757145	0.1344115027208237
delta	2	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.3236990569469829	-0.32309216094580184	-0.2570471200160682	-0.2565391092097081	0.3358358712755698	0.33612040133779264	0.27761941018222425	0.27801003344481606	0.897263788423243	0.8974674025783427	0.9088843193808064	0.9090534350555547	0.056725404978204406	0.05671151176901205	0.08001107713809753	0.07997701771397156
delta	3	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.6010524714365602	0.40754933848347463	0.5560843294369988	0.3854222122233518	0.873210163720327	0.8095774647887324	0.8731549393164	0.8095774647887324	0.012583280264434032	0.012833465918909026	0.11112380828179058	0.11158271184568413	0.7352860137285242	0.597165314493089	0.7700410592555845	0.6593013465786479
delta	3	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.5899134749366391	0.3998520238484655	0.5499552317083843	0.3802698672690562	0.8691201690016279	0.8068571428571428	0.8690631631653161	0.8068571428571428	0.011199016231983626	0.012224008785316345	0.10626182314921433	0.10943610276645604	0.7267468528810573	0.5914105332715617	0.7626230289089905	0.6544342229583429
delta	3	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.9463613629341125	0.9463613629341125	0.7460863590240479	0.7460863590240479	1.0	1.0	1.0	1.0	0.05549546527039654	0.05549546527039654	0.261845347391654	0.261845347391654	1.0	1.0	1.0	1.0
delta	3	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.11433611305406445	-0.16360770748083991	-0.09057868226202494	-0.13475612823388755	0.4733374580521843	0.44386991427405087	0.4456250488628168	0.40672200299360456	0.7028978891810277	0.7747046859285733	0.7348909346588306	0.7948320491352354	0.14716503813001555	0.10586477486055941	0.20368149259737894	0.1605133349719771
delta	3	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.11573115712725462	-0.1855531859778117	-0.09252708368074643	-0.15420925223309512	0.4943434472916308	0.4647419072615923	0.469162828001259	0.4306211723534558	0.6526379037147487	0.7140299820044788	0.6897195147193111	0.739742021679084	0.16943502919813558	0.12972240218408965	0.2340099090253986	0.19705964679555651
delta	3	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.1067408731000291	-0.08685225484302242	-0.07997071898231904	-0.06671781510324416	0.3589715166374201	0.3708690330477356	0.31747491799796435	0.32313341493268055	0.9765355878307683	0.9869176191759421	0.980824220996213	0.9875122859234282	0.02591730898136228	0.022421482232667562	0.03856011426704967	0.03269070824507582
delta	3	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.5756300561673319	-0.5787413188781478	-0.4565781153246967	-0.45789865314056755	0.32289477749111406	0.3187763245400133	0.20333701679823546	0.2001773442695633	0.7794624619277829	0.7831247943305665	0.7977043043736552	0.8006439492316134	0.06986212169714616	0.070056045409895	0.12459763556233236	0.12445170403078856
delta	3	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.6260137600203355	-0.6336264526972225	-0.49682035922693707	-0.5014901522779566	0.32131284437116187	0.3161296113454807	0.18839551705651716	0.1833767166322592	0.7560256828908157	0.7587073825657158	0.7759112551419379	0.7778431072113484	0.07379812225796052	0.07431900045296078	0.1339799964806262	0.13449925196926435
delta	3	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.3237115369023134	-0.32310784234039264	-0.2553668958134949	-0.2548665077017502	0.33080444309087526	0.3311036789297659	0.27804451550682713	0.27842809364548493	0.8966463571126192	0.8968515436918543	0.9066695505322412	0.9068413492933902	0.050182118893074334	0.05020086893213767	0.07768583097086298	0.07765415738256168
delta	4	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.5951155752991326	0.3999574086542281	0.5462534192338353	0.3755121285229607	0.8682506520915031	0.7966197183098591	0.8646274577444739	0.7921126760563381	0.01612901767174634	0.01658925518776948	0.12730761430945425	0.12897482207619962	0.6898775490549826	0.5311557856255051	0.7504993010702612	0.633665952601586
delta	4	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.5839137063031236	0.3922086071467825	0.5405225184025063	0.370534996858931	0.8640006731267129	0.7937142857142857	0.8602606015426829	0.7891428571428571	0.01473196387662937	0.015977134757303724	0.1222464408025293	0.12675726249122923	0.6798735990244981	0.524458011134441	0.7424508914273664	0.6284326090673229
delta	4	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.942373514175415	0.942373514175415	0.7239113450050354	0.7239113450050354	1.0	1.0	1.0	1.0	0.05943768532037239	0.05943768532037239	0.2842039930241271	0.2842039930241271	1.0	1.0	1.0	1.0
delta	4	transfo-xl-wt103	delta	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	-0.11438999917249773	-0.16439566741017628	-0.08836624621622392	-0.13262340611686196	0.4659287620727418	0.43747448632467	0.4433651718472872	0.40277588787590146	0.7041884471207536	0.7755416344637946	0.7403873580288094	0.7984684622724388	0.12825781549207824	0.08946746991156564	0.1918225633424815	0.1517836417458531
delta	4	transfo-xl-wt103	delta	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	-0.1160239917665663	-0.18683919833268448	-0.09049938683284028	-0.15229571454462448	0.48465352060542694	0.45564304461942257	0.4664878715338975	0.42554680664916883	0.6541896815990637	0.7151578799685406	0.696180465454264	0.7445145632984286	0.1452367791978958	0.10642182366201992	0.21777941206566345	0.18302140721910634
delta	4	transfo-xl-wt103	delta	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.10549381727145778	-0.08589825050556528	-0.07675248063686821	-0.06381848404546482	0.36398285450590084	0.37392900856793143	0.31747491799796435	0.32313341493268055	0.9764039482943987	0.9867369569487248	0.9810693287124459	0.9871750305934114	0.035816790871515895	0.030168735710925366	0.050501942516268446	0.042527932027589935
delta	4	transfo-xl-wt103	delta	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.5715285391262215	-0.5743781824128328	-0.44649228238914573	-0.4476093280814637	0.31831076101555084	0.3138993571270228	0.20114219697463018	0.19773886056306805	0.7803019359214155	0.7839342683996695	0.8016873774088604	0.8047022761393208	0.06538765347304648	0.0652967256731765	0.11995665369168299	0.1196875421451845
delta	4	transfo-xl-wt103	delta	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.621521157445386	-0.6287868844887571	-0.48601369820535184	-0.4903806996434063	0.31715082296943503	0.31164168387038865	0.1865155021124119	0.18122251144421506	0.7569825593992862	0.7596366536908711	0.7803899019927509	0.7824503147726803	0.06919019145471787	0.06935819142299861	0.12951432648952452	0.1298983615232
delta	4	transfo-xl-wt103	delta	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.3215654475303988	-0.32096373850485954	-0.2488852033081154	-0.2483970159695898	0.3241104512461297	0.32441471571906355	0.27427567128572156	0.2746655518394649	0.8968988185320618	0.8971030499509763	0.9081747544894073	0.9083432048959016	0.04637496356468959	0.0463800074797115	0.07216828970247534	0.07212954102040568
delta	5	transfo-xl-wt103	delta	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.5946653936698567	0.40278979837737033	0.540939173908555	0.3740188091132842	0.8646319870755426	0.7954929577464789	0.8617936466332748	0.7915492957746478	0.017626666374228644	0.017466377441418032	0.1347877661127016	0.13430417907990205	0.6998613773422154	0.5621500651646555	0.7439182488209235	0.638803936809493
delta	5	transfo-xl-wt103	delta	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.5836423293897702	0.39516707569201076	0.5358577632765856	0.369383893479194	0.8602652769812053	0.7925714285714286	0.8573353771698322	0.7885714285714286	0.016105707660877003	0.016790520169322153	0.12908290925231058	0.13177083408411744	0.6901794862887386	0.555895066095579	0.7356575471699854	0.6336439930496286
delta	5	transfo-xl-wt103	delta	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.9363803863525391	0.9363803863525391	0.6984629034996033	0.6984629034996033	1.0	1.0	1.0	1.0	0.06477638648812957	0.06477638648812957	0.3116383287848228	0.3116383287848228	1.0	1.0	1.0	1.0
